createdTime,minute_diff,hrvValue
2025-10-10 11:30:01,0.0,128
2025-10-10 11:40:01,10.0,127
2025-10-10 11:50:01,10.0,98
2025-10-10 12:20:01,30.0,129
2025-10-10 12:30:01,10.0,100
2025-10-10 12:40:01,10.0,128
2025-10-10 13:00:01,20.0,120
2025-10-10 13:10:01,10.0,100
2025-10-10 13:20:01,10.0,126
2025-10-10 13:30:01,10.0,122
2025-10-10 13:40:01,10.0,55
2025-10-10 13:50:01,10.0,123
2025-10-10 14:00:01,10.0,123
2025-10-10 14:40:01,40.0,76
2025-10-10 14:50:01,10.0,82
2025-10-10 15:00:01,10.0,122
2025-10-10 15:10:01,10.0,76
2025-10-10 15:20:01,10.0,34
2025-10-10 15:30:01,10.0,125
2025-10-10 15:40:01,10.0,52
2025-10-10 15:50:01,10.0,39
2025-10-10 16:00:01,10.0,36
2025-10-10 16:10:01,10.0,87
2025-10-10 16:20:01,10.0,81
2025-10-10 16:30:01,10.0,32
2025-10-10 16:40:01,10.0,51
2025-10-10 16:50:01,10.0,37
2025-10-10 17:00:01,10.0,63
2025-10-10 17:10:01,10.0,45
2025-10-10 17:20:01,10.0,111
2025-10-10 17:30:01,10.0,39
2025-10-10 17:40:01,10.0,91
2025-10-10 18:00:01,20.0,124
2025-10-10 18:10:01,10.0,120
2025-10-10 18:20:01,10.0,102
2025-10-10 18:30:01,10.0,46
2025-10-10 18:40:01,10.0,59
2025-10-10 18:50:01,10.0,95
2025-10-10 19:00:01,10.0,121
2025-10-10 19:10:01,10.0,46
2025-10-10 19:20:01,10.0,60
2025-10-10 19:30:01,10.0,127
2025-10-10 19:50:01,20.0,37
2025-10-10 20:00:01,10.0,59
2025-10-10 20:10:01,10.0,105
2025-10-10 20:20:01,10.0,83
2025-10-10 20:30:01,10.0,112
2025-10-10 20:40:01,10.0,128
2025-10-10 20:50:01,10.0,127
2025-10-10 22:40:01,110.0,123
2025-10-10 22:50:01,10.0,63
2025-10-10 23:00:01,10.0,48
2025-10-10 23:10:01,10.0,57
2025-10-10 23:20:01,10.0,43
2025-10-10 23:30:01,10.0,100
2025-10-10 23:40:01,10.0,40
2025-10-10 23:50:01,10.0,61
2025-10-11 00:00:01,10.0,62
2025-10-11 00:10:01,10.0,47
2025-10-11 00:20:01,10.0,69
2025-10-11 00:30:01,10.0,58
2025-10-11 00:40:01,10.0,57
2025-10-11 00:50:01,10.0,79
2025-10-11 01:00:01,10.0,63
2025-10-11 08:40:01,460.0,110
2025-10-11 10:10:01,90.0,112
2025-10-11 10:30:01,20.0,127
2025-10-11 10:40:01,10.0,80
2025-10-11 10:50:01,10.0,128
2025-10-11 11:00:01,10.0,68
2025-10-11 11:10:01,10.0,44
2025-10-11 11:20:01,10.0,82
2025-10-11 11:30:01,10.0,45
2025-10-11 11:50:01,20.0,111
2025-10-11 12:00:01,10.0,112
2025-10-11 12:10:01,10.0,54
2025-10-11 12:20:01,10.0,121
2025-10-11 12:30:01,10.0,53
2025-10-11 12:40:01,10.0,35
2025-10-11 12:50:01,10.0,46
2025-10-11 13:00:01,10.0,36
2025-10-11 13:10:01,10.0,44
2025-10-11 13:20:01,10.0,44
2025-10-11 13:30:01,10.0,99
2025-10-11 14:10:01,40.0,47
2025-10-11 14:20:01,10.0,126
2025-10-11 14:30:01,10.0,59
2025-10-11 14:40:01,10.0,64
2025-10-11 14:50:01,10.0,49
2025-10-11 15:00:01,10.0,58
2025-10-11 15:10:01,10.0,49
2025-10-11 15:20:01,10.0,53
2025-10-11 15:30:01,10.0,61
2025-10-11 17:00:01,90.0,49
2025-10-11 17:05:48,5.783333333333333,81
2025-10-11 17:20:01,14.216666666666667,83
2025-10-11 17:30:01,10.0,120
2025-10-11 17:40:01,10.0,46
2025-10-11 17:50:01,10.0,71
2025-10-11 18:00:01,10.0,51
2025-10-11 18:10:01,10.0,120
2025-10-11 18:20:01,10.0,49
2025-10-11 18:30:01,10.0,52
2025-10-11 18:40:01,10.0,75
2025-10-11 18:50:01,10.0,129
2025-10-11 19:00:01,10.0,120
2025-10-11 19:10:01,10.0,127
2025-10-11 19:20:01,10.0,120
2025-10-11 19:30:01,10.0,114
2025-10-11 19:40:01,10.0,119
2025-10-11 19:50:01,10.0,106
2025-10-11 20:00:01,10.0,126
2025-10-11 20:10:01,10.0,129
2025-10-11 20:20:01,10.0,127
2025-10-11 20:30:01,10.0,121
2025-10-11 20:40:01,10.0,126
2025-10-11 20:50:01,10.0,128
2025-10-11 21:00:01,10.0,121
2025-10-11 21:10:01,10.0,81
2025-10-11 21:20:01,10.0,128
2025-10-11 21:30:01,10.0,128
2025-10-11 21:40:01,10.0,86
2025-10-11 21:50:01,10.0,76
2025-10-11 22:00:01,10.0,120
2025-10-11 22:10:01,10.0,66
2025-10-11 22:20:01,10.0,124
2025-10-11 22:30:01,10.0,107
2025-10-11 22:40:01,10.0,120
2025-10-11 22:50:01,10.0,96
2025-10-11 23:00:01,10.0,72
2025-10-11 23:10:01,10.0,104
2025-10-11 23:20:01,10.0,125
2025-10-11 23:30:01,10.0,74
2025-10-11 23:40:01,10.0,42
2025-10-11 23:50:01,10.0,50
2025-10-12 00:00:01,10.0,32
2025-10-12 00:10:01,10.0,42
2025-10-12 00:20:01,10.0,40
2025-10-12 00:30:01,10.0,128
2025-10-12 00:40:01,10.0,61
2025-10-12 00:50:01,10.0,52
2025-10-12 01:00:01,10.0,62
2025-10-12 01:10:01,10.0,67
2025-10-12 05:30:01,260.0,72
2025-10-12 05:40:01,10.0,67
2025-10-12 05:50:01,10.0,124
2025-10-12 06:00:01,10.0,88
2025-10-12 07:40:01,100.0,60
2025-10-12 07:50:01,10.0,119
2025-10-12 08:00:01,10.0,94
2025-10-12 08:10:01,10.0,129
2025-10-12 08:20:01,10.0,49
2025-10-12 08:20:55,0.9,59
2025-10-12 08:40:01,19.1,123
2025-10-12 08:50:01,10.0,122
2025-10-12 09:00:01,10.0,109
2025-10-12 09:10:01,10.0,125
2025-10-12 09:20:01,10.0,123
2025-10-12 10:00:01,40.0,115
2025-10-12 10:40:01,40.0,109
2025-10-12 10:50:01,10.0,122
2025-10-12 11:00:01,10.0,107
2025-10-12 11:10:01,10.0,100
2025-10-12 11:50:01,40.0,117
2025-10-12 12:00:01,10.0,123
2025-10-12 12:40:01,40.0,122
2025-10-12 12:50:01,10.0,125
2025-10-12 14:20:01,90.0,125
2025-10-12 14:30:01,10.0,98
2025-10-12 14:40:01,10.0,114
2025-10-12 15:00:01,20.0,82
2025-10-12 15:10:01,10.0,127
2025-10-12 15:30:01,20.0,124
2025-10-12 15:40:01,10.0,124
2025-10-12 15:50:01,10.0,125
2025-10-12 16:00:01,10.0,127
2025-10-12 16:10:01,10.0,126
2025-10-12 16:20:01,10.0,121
2025-10-12 16:30:01,10.0,96
2025-10-12 16:40:01,10.0,102
2025-10-12 16:50:01,10.0,90
2025-10-12 17:00:01,10.0,88
2025-10-12 17:10:01,10.0,87
2025-10-12 17:20:01,10.0,129
2025-10-12 17:30:01,10.0,115
2025-10-12 17:40:01,10.0,128
2025-10-12 17:50:01,10.0,117
2025-10-12 18:00:01,10.0,129
2025-10-12 18:10:01,10.0,124
2025-10-12 18:20:01,10.0,79
2025-10-12 18:30:01,10.0,79
2025-10-12 18:40:01,10.0,128
2025-10-12 18:50:01,10.0,121
2025-10-12 19:00:01,10.0,87
2025-10-12 19:10:01,10.0,96
2025-10-12 19:20:01,10.0,109
2025-10-12 19:30:01,10.0,124
2025-10-12 19:40:01,10.0,109
2025-10-12 19:50:01,10.0,86
2025-10-12 20:00:01,10.0,119
2025-10-12 20:10:01,10.0,89
2025-10-12 20:20:01,10.0,112
2025-10-12 20:30:01,10.0,83
2025-10-12 20:40:01,10.0,74
2025-10-12 20:50:01,10.0,102
2025-10-12 21:00:01,10.0,60
2025-10-12 21:10:01,10.0,86
2025-10-12 21:20:01,10.0,68
