logDateTime,logEndTime,description
2025-10-14 00:51:00,2025-10-14 01:41:00,194~30~30~30~30~30~30~30~30~80
2025-11-03 12:03:00,2025-11-03 14:03:00,22~10~24~30~30~120~30~84~88~86~84~30~30~30~30~120~30~30~30~30~30~30~30~26
2025-11-01 21:59:00,2025-11-01 22:24:00,30~30~30~30~30
2026-03-30 19:22:00,2026-03-30 21:22:00,30~30~28~120~10~10~10~10~10~30~86~90~86~120~30~30~30~30~30~30~30~30~30~120
2026-04-14 21:48:00,2026-04-14 23:28:00,194~30~30~30~30~30~30~30~30~80~30~30~30~82~86~88~82~30~30~120
2025-10-13 09:11:00,2025-10-13 09:41:00,30~120~30~88~90~84
2026-03-30 11:23:00,2026-03-30 13:23:00,90~30~30~30~30~30~30~30~30~80~30~30~26~10~10~10~10~10~28~120~80~88~30~82
2026-03-30 21:22:00,2026-03-30 23:22:00,30~28~26~10~10~10~10~28~90~120~86~30~30~30~30~30~30~30~30~120~30~30~30~28
2026-03-30 15:22:00,2026-03-30 17:22:00,30~120~30~30~28~22~10~10~10~10~10~120~88~90~88~82~30~30~30~30~30~120~30~30
2025-10-13 07:11:00,2025-10-13 09:11:00,10~10~28~30~30~120~30~30~30~82~84~88~86~82~30~120~28~22~22~10~10~24~30~30
2026-03-30 17:22:00,2026-03-30 19:22:00,30~30~30~26~10~10~10~120~22~24~30~88~90~86~82~30~30~120~30~30~30~30~30~30
2026-03-30 23:22:00,2026-03-30 23:47:00,22~10~10~10~10
2025-11-02 05:10:00,2025-11-02 07:10:00,186~30~30~30~30~24~10~24~10~80~10~22~30~30~30~30~30~30~90~120~30~82~30~30
2025-10-13 11:49:00,2025-10-13 13:04:00,24~24~26~10~22~120~30~30~86~90~86~82~30~30~30
2025-11-02 08:22:00,2025-11-02 10:22:00,132~30~30~24~22~22~10~10~28~80~30~30~30~86~90~84~82~30~30~120~30~22~22~10
2026-04-14 20:44:00,2026-04-14 21:39:00,194~30~30~30~30~30~30~30~30~80~30
2025-11-02 12:21:00,2025-11-02 13:06:00,30~120~84~86~86~82~30~30~30
2025-11-03 14:03:00,2025-11-03 14:13:00,10~120
2026-04-14 11:04:00,2026-04-14 12:54:00,90~30~30~30~30~30~30~30~30~80~30~24~10~82~90~86~10~82~30~120~30~30
2025-10-13 09:50:00,2025-10-13 11:50:00,208~30~30~26~10~10~10~10~26~80~30~30~30~30~30~88~88~86~84~120~30~30~26~24
2025-11-03 10:04:00,2025-11-03 12:04:00,194~30~30~22~10~10~10~22~30~80~30~30~30~30~30~90~84~88~84~120~30~28~24~22
2025-11-02 10:21:00,2025-11-02 12:21:00,10~10~30~30~30~120~30~30~88~88~82~84~30~30~30~120~22~10~10~10~22~28~30~30
2026-04-12 05:12:00,2026-04-12 07:12:00,194~30~30~26~10~10~10~10~26~80~30~30~30~30~30~88~88~86~84~120~30~26~10~10
2026-04-12 07:11:00,2026-04-12 08:31:00,10~10~30~30~30~120~30~30~30~86~90~86~86~30~30~120
2025-11-03 06:27:00,2025-11-03 08:27:00,182~30~26~10~10~10~24~30~30~80~30~30~84~90~86~84~82~30~28~120~10~10~22~10
2025-11-03 08:26:00,2025-11-03 09:56:00,24~30~30~30~30~120~30~30~30~30~30~88~88~84~84~120~30~30
2026-03-30 13:22:00,2026-03-30 15:22:00,30~30~30~30~30~120~30~30~30~30~28~10~28~90~82~120~30~30~30~30~30~30~30~30
2025-10-13 05:12:00,2025-10-13 07:12:00,194~30~30~30~10~10~10~10~26~80~30~30~30~86~88~86~84~30~30~120~30~22~10~10
2025-11-02 07:09:00,2025-11-02 08:14:00,30~28~24~10~10~120~24~30~30~30~30~88~88
2025-10-14 19:07:00,2025-10-14 20:32:00,202~30~30~30~30~30~30~30~30~80~30~26~26~10~10~10~24
2026-03-12 22:24:00,2026-03-12 23:54:00,194~30~30~30~30~30~30~30~30~80~30~26~22~10~22~22~10~24
2026-01-04 21:07:00,2026-01-04 22:32:00,196~30~30~30~30~30~30~30~30~80~26~26~82~90~84~84~30
2025-11-21 21:38:00,2025-11-21 23:03:00,204~30~30~30~30~30~30~30~30~80~30~28~10~86~86~90~10
2025-10-14 20:38:00,2025-10-14 22:38:00,196~30~30~30~30~30~30~30~30~80~28~28~28~22~22~26~30~22~88~120~86~30~30~30
2026-01-20 20:36:00,2026-01-20 21:11:00,30~30~30~30~30~120~30
2026-01-20 18:37:00,2026-01-20 20:37:00,204~30~30~30~30~30~30~30~30~80~30~24~10~22~22~10~10~88~90~120~84~30~30~30
2026-03-12 00:11:00,2026-03-12 02:11:00,90~30~30~30~30~30~30~30~30~80~30~30~26~10~10~90~86~24~26~120~30~30~30~30
2026-01-04 20:04:00,2026-01-04 21:04:00,194~30~30~30~30~30~30~30~30~80~28~26
2025-11-22 21:50:00,2025-11-22 23:00:00,194~30~30~30~30~30~30~30~30~80~30~26~26~28
2026-04-28 10:08:00,2026-04-28 11:58:00,90~30~30~30~28~10~10~10~10~80~26~30~30~30~30~30~30~84~90~120~84~30
2026-01-11 21:35:00,2026-01-11 23:10:00,194~30~30~30~30~30~30~30~30~80~30~26~22~22~10~22~10~22~82
2025-12-23 22:03:00,2025-12-23 23:43:00,194~30~30~30~30~30~30~30~30~80~30~28~22~24~10~10~10~82~90~120
2026-01-16 20:18:00,2026-01-16 22:03:00,216~30~30~30~30~30~30~30~30~80~30~24~10~10~22~30~30~84~82~120~82
2025-10-27 21:58:00,2025-10-27 23:28:00,194~30~30~30~30~30~30~30~30~80~30~26~26~26~24~90~84~28
2025-10-29 23:15:00,2025-10-30 00:05:00,194~30~30~30~30~30~30~30~30~80
2025-10-14 06:19:00,2025-10-14 07:19:00,186~30~30~10~10~10~10~24~30~80~30~30
2025-10-18 22:23:00,2025-10-18 23:13:00,198~30~30~30~30~30~30~30~30~80
2025-11-15 17:59:00,2025-11-15 18:49:00,194~30~30~30~30~30~30~30~30~80
2026-02-11 00:28:00,2026-02-11 01:18:00,194~30~30~30~30~30~30~30~30~80
2025-10-12 11:06:00,2025-10-12 12:56:00,176~30~30~30~30~24~10~22~24~80~24~26~22~30~30~30~30~30~90~120~82~84
2025-10-12 06:16:00,2025-10-12 08:16:00,178~30~30~30~30~24~24~22~10~80~22~10~30~30~30~30~30~30~90~120~82~88~30~30
2025-10-16 09:59:00,2025-10-16 11:39:00,22~26~10~24~30~120~30~30~30~30~30~30~86~88~86~120~30~30~28~28
2026-01-18 08:04:00,2026-01-18 10:04:00,10~10~24~30~30~120~30~30~30~30~88~88~86~82~30~120~28~24~10~10~10~10~26~30
2025-10-23 05:02:00,2025-10-23 07:02:00,176~30~30~30~10~10~22~10~10~80~30~30~30~30~30~30~30~30~30~120~80~86~84~82
2026-01-18 06:05:00,2026-01-18 08:05:00,176~30~26~10~10~10~24~30~30~80~30~30~84~90~84~84~82~30~30~120~28~22~10~10
2025-10-23 07:01:00,2025-10-23 09:01:00,30~30~30~26~22~120~26~24~22~22~26~30~30~30~30~120~90~86~82~30~30~30~26~24
2025-10-12 08:15:00,2025-10-12 10:15:00,24~10~10~10~22~120~30~30~30~30~30~30~88~88~86~120~30~30~28~26~10~10~10~26
2025-10-16 07:11:00,2025-10-16 07:46:00,30~30~28~24~22~120~26
2026-01-12 06:48:00,2026-01-12 08:48:00,196~30~26~22~10~10~22~30~30~80~30~30~84~88~90~86~82~30~30~120~28~26~10~10
2025-10-16 16:15:00,2025-10-16 17:25:00,194~30~30~30~30~30~30~30~30~80~30~30~30~30
2026-01-18 10:04:00,2026-01-18 12:04:00,30~120~30~30~30~30~30~30~88~90~82~120~30~30~24~10~22~22~24~30~30~120~30~30
2025-10-12 10:15:00,2025-10-12 10:55:00,30~120~30~30~82~86~86~84
2025-10-16 05:12:00,2025-10-16 07:12:00,178~30~30~22~10~10~10~22~22~80~30~30~30~30~30~30~30~30~84~120~86~84~82~30
2026-01-12 08:47:00,2026-01-12 10:47:00,22~10~24~24~30~120~30~30~30~30~30~30~86~90~88~120~30~30~30~30~24~10~22~10
2026-01-12 10:47:00,2026-01-12 10:52:00,24
2026-01-18 12:04:00,2026-01-18 12:09:00,30
2025-10-23 10:34:00,2025-10-23 12:34:00,132~30~30~30~26~10~10~10~10~80~24~30~30~30~30~30~30~30~30~120~80~88~88~30
2025-10-12 02:21:00,2025-10-12 03:01:00,194~30~30~30~30~30~30~30
2025-10-23 09:01:00,2025-10-23 10:26:00,24~120~10~10~22~30~30~30~30~30~30~120~30~86~90~82~82
2026-01-11 23:14:00,2026-01-12 01:09:00,196~30~30~30~30~30~30~30~30~80~30~30~10~10~10~26~30~30~82~120~82~30~30
2025-10-16 08:00:00,2025-10-16 10:00:00,132~30~30~28~28~24~22~24~24~80~22~28~30~86~86~86~82~30~30~120~26~24~22~10
2025-10-11 11:52:00,2025-10-11 13:52:00,24~30~30~30~82~88~84~120~84~30~30~30~30~30~30~30~30~120~30~30~30~26~30~24
