logDateTime,logEndTime,description
2026-01-02 05:01:00,2026-01-02 07:01:00,196~30~30~30~30~22~10~10~22~80~10~30~30~30~30~30~30~82~86~120~86~82~30~30
2025-11-08 12:13:00,2025-11-08 14:13:00,132~30~30~30~30~30~30~30~30~80~30~30~30~24~24~24~90~90~82~120~30~30~30~30
2025-11-12 06:07:00,2025-11-12 07:22:00,194~30~30~26~10~10~10~10~26~80~30~30~30~30~30
2025-12-22 05:11:00,2025-12-22 06:31:00,194~30~30~30~30~26~10~22~10~80~22~26~30~30~30~30
2025-11-10 13:40:00,2025-11-10 14:55:00,30~30~30~30~30~120~30~30~30~28~22~22~26~10~24
2025-12-28 09:16:00,2025-12-28 11:16:00,132~30~30~30~30~10~10~10~10~80~22~24~30~30~30~30~30~30~30~120~80~90~84~84
2025-12-21 14:19:00,2025-12-21 14:39:00,30~30~30~120
2025-12-04 05:52:00,2025-12-04 07:52:00,194~30~26~10~10~10~10~10~28~80~30~30~30~30~30~30~30~30~82~120~90~82~30~30
2026-01-03 08:01:00,2026-01-03 08:31:00,22~22~10~26~30~120
2026-01-03 08:40:00,2026-01-03 10:40:00,132~30~30~24~22~10~24~22~22~80~30~30~30~30~30~30~30~30~82~120~86~84~84~30
2025-12-04 09:25:00,2025-12-04 11:25:00,186~30~30~30~30~10~10~10~22~80~10~28~30~30~30~30~30~30~30~120~80~86~86~82
2025-12-28 07:32:00,2025-12-28 09:07:00,184~30~30~26~10~10~10~10~24~80~30~30~30~30~30~30~30~86~82
2025-12-04 07:51:00,2025-12-04 08:16:00,30~30~28~22~22
2025-11-28 08:29:00,2025-11-28 09:39:00,132~30~30~30~24~10~22~28~10~80~26~30~30~30
2026-01-02 07:00:00,2026-01-02 09:00:00,30~24~22~22~22~120~22~26~30~30~30~30~30~30~82~120~88~84~82~30~30~30~22~22
2025-11-10 11:41:00,2025-11-10 13:41:00,132~30~30~28~26~24~28~24~22~80~30~28~22~22~22~30~30~30~30~120~80~88~86~30
2025-11-28 11:47:00,2025-11-28 12:17:00,26~24~22~10~10~120
2025-12-24 09:39:00,2025-12-24 11:39:00,132~30~30~28~24~10~10~10~22~80~30~30~30~30~30~86~88~84~82~120~30~26~30~22
2025-11-28 06:57:00,2025-11-28 08:17:00,30~30~30~26~24~120~22~10~10~24~28~30~30~30~30~120
2025-11-10 08:17:00,2025-11-10 10:17:00,132~30~30~26~22~10~10~24~10~80~30~30~30~30~30~88~90~84~86~120~30~28~26~10
2025-11-12 14:34:00,2025-11-12 14:34:00,
2025-12-22 08:40:00,2025-12-22 10:40:00,10~10~10~22~24~120~30~30~30~30~30~30~84~88~86~120~82~30~30~30~26~22~10~10
2025-12-27 12:23:00,2025-12-27 12:48:00,22~30~30~30~30
2026-01-02 13:06:00,2026-01-02 14:16:00,132~30~30~30~30~30~30~30~30~80~30~30~24~22
2025-11-08 04:55:00,2025-11-08 06:55:00,194~30~30~30~10~10~10~10~26~80~30~30~30~30~86~88~86~82~30~120~28~26~26~22
2025-12-22 12:41:00,2025-12-22 14:26:00,132~30~30~30~30~30~30~30~30~80~26~24~10~10~10~22~88~88~86~120~30
2025-11-28 12:33:00,2025-11-28 14:13:00,132~30~30~30~30~30~30~30~30~80~28~26~22~22~82~88~88~86~30~120
2025-12-28 11:15:00,2025-12-28 13:05:00,30~30~30~28~10~120~10~10~24~30~30~30~30~84~86~120~88~30~30~30~30~30
2025-12-23 19:53:00,2025-12-23 21:53:00,194~30~30~30~30~30~30~30~30~80~30~24~10~22~10~10~10~28~30~120~80~84~82~30
2025-12-27 10:24:00,2025-12-27 12:24:00,132~30~30~28~10~10~24~22~24~80~30~30~82~88~88~84~84~30~30~120~10~10~22~22
2025-12-04 12:28:00,2025-12-04 13:48:00,132~30~30~30~30~30~30~30~30~80~30~30~22~22~24~24
2026-01-02 09:00:00,2026-01-02 09:20:00,10~120~10~24
2026-01-03 13:00:00,2026-01-03 14:35:00,132~30~30~30~30~30~30~30~30~80~30~28~24~22~10~28~90~82~82
2026-01-14 03:22:00,2026-01-14 05:22:00,222~30~30~30~30~30~30~30~30~80~28~26~10~10~22~10~10~30~82~120~88~86~30~30
2025-12-21 12:19:00,2025-12-21 14:19:00,86~82~30~30~30~30~30~120~30~30~30~30~28~22~24~90~86~120~82~30~30~30~30~30
2025-12-27 04:59:00,2025-12-27 06:59:00,194~30~30~30~30~24~10~22~22~80~10~10~30~30~30~30~30~30~90~120~86~86~30~30
2025-12-22 10:40:00,2025-12-22 12:30:00,10~120~22~30~30~30~30~30~30~30~30~120~86~88~84~30~30~30~26~22~10~120
2025-12-28 13:12:00,2025-12-28 14:07:00,132~30~30~30~30~30~30~30~30~80~30
2026-01-14 07:21:00,2026-01-14 09:21:00,30~120~30~30~30~30~88~90~84~86~30~120~30~28~26~22~22~22~22~24~10~120~30~30
2025-11-28 04:58:00,2025-11-28 06:58:00,226~30~30~30~24~10~10~10~10~80~26~30~30~30~30~30~30~30~30~120~80~90~82~30
2025-12-21 06:20:00,2025-12-21 08:20:00,176~30~28~10~10~10~24~26~30~80~30~30~82~90~86~84~84~30~30~120~22~10~22~26
2025-12-28 04:48:00,2025-12-28 06:48:00,196~30~30~24~10~10~10~10~22~80~30~30~30~30~30~30~30~30~86~120~84~82~82~30
2025-11-12 12:35:00,2025-11-12 14:35:00,132~30~30~30~30~30~30~30~30~80~30~30~10~10~10~10~22~24~84~120~88~86~82~30
2026-01-14 09:21:00,2026-01-14 11:21:00,30~30~30~86~90~84~84~120~30~30~30~24~10~24~10~22~10~120~26~30~30~30~30~30
2026-01-03 12:39:00,2026-01-03 12:49:00,30~120
2026-01-14 05:21:00,2026-01-14 07:21:00,30~26~24~22~10~120~22~30~30~30~30~84~90~86~82~120~30~30~28~22~10~10~22~22
2025-12-23 17:45:00,2025-12-23 19:35:00,194~30~30~30~30~30~30~30~30~80~30~30~28~28~90~86~30~30~30~120~30~30
2025-12-04 08:30:00,2025-12-04 08:50:00,132~30~30~30
2025-11-08 10:54:00,2025-11-08 12:04:00,82~90~88~84~82~30~30~120~24~26~10~10~26~30
2025-12-04 11:24:00,2025-12-04 12:19:00,30~30~26~10~10~120~10~26~28~30~30
2025-11-10 10:16:00,2025-11-10 10:31:00,24~24~24
2025-12-27 08:56:00,2025-12-27 10:16:00,132~30~30~26~10~22~10~10~30~80~30~30~30~90~86~84
2026-01-02 11:35:00,2026-01-02 12:55:00,26~10~24~10~22~120~30~30~30~30~30~30~84~88~86~120
2025-11-12 07:32:00,2025-11-12 09:32:00,132~30~30~30~26~22~10~22~10~80~28~30~30~30~30~30~90~90~86~120~30~30~26~30
2025-11-12 09:31:00,2025-11-12 11:21:00,22~22~24~22~24~120~30~30~86~90~86~86~30~30~30~120~30~28~22~24~24~22
2026-01-02 09:36:00,2026-01-02 11:36:00,194~30~24~10~10~10~10~26~30~80~30~30~30~30~30~30~82~86~88~120~30~30~30~28
2025-12-27 06:58:00,2025-12-27 08:38:00,30~28~10~22~10~120~22~26~26~24~30~30~30~30~30~120~30~84~90~86
2026-01-14 11:21:00,2026-01-14 13:16:00,30~30~30~120~88~84~84~30~30~30~28~24~22~120~30~30~30~30~28~26~22~10~10
2025-12-23 21:52:00,2025-12-23 21:52:00,
2025-11-12 11:32:00,2025-11-12 12:27:00,132~30~30~28~22~10~22~10~10~80~28
2025-12-24 11:38:00,2025-12-24 12:33:00,10~10~22~22~30~120~30~30~30~30~30
2025-11-10 06:44:00,2025-11-10 08:09:00,182~30~30~26~10~10~10~26~30~80~30~30~88~90~84~82~30
2025-11-08 08:54:00,2025-11-08 10:54:00,30~120~30~30~88~86~88~82~30~30~30~120~22~24~22~22~22~26~30~30~30~120~30~30
2025-12-28 06:47:00,2025-12-28 07:27:00,30~28~24~10~10~120~10~24
2025-12-27 12:56:00,2025-12-27 14:36:00,212~30~30~30~30~30~30~30~30~80~30~28~24~30~88~84~30~82~30~120
2025-12-24 08:57:00,2025-12-24 09:32:00,182~30~30~28~10~10~22
2025-12-22 06:41:00,2025-12-22 08:41:00,132~30~26~26~24~22~10~24~22~80~30~30~30~30~30~30~86~88~88~120~30~30~30~24
2025-11-28 09:48:00,2025-11-28 11:48:00,132~30~30~28~22~22~10~24~10~80~30~30~30~30~30~30~30~84~88~120~84~82~30~30
2026-01-03 06:02:00,2026-01-03 08:02:00,194~30~30~22~10~10~10~10~30~80~30~30~30~30~30~88~88~82~86~120~30~30~24~10
2025-11-08 14:12:00,2025-11-08 15:02:00,30~30~30~30~30~120~30~26~22~10
2025-11-08 06:54:00,2025-11-08 08:54:00,22~22~24~30~30~120~82~86~90~84~30~30~30~30~26~120~24~10~26~22~10~26~30~30
2026-01-03 10:39:00,2026-01-03 12:39:00,30~30~28~24~10~120~10~22~24~30~30~30~30~30~88~120~86~84~30~30~30~30~30~30
2025-12-21 08:19:00,2025-12-21 10:19:00,24~26~30~30~30~120~30~90~90~86~84~30~30~30~28~120~22~10~10~10~22~30~30~30
2025-12-21 10:19:00,2025-12-21 12:19:00,30~120~30~30~88~88~88~82~30~30~30~120~28~26~24~22~10~24~22~26~30~120~90~90
2025-11-10 10:40:00,2025-11-10 11:35:00,132~30~28~22~22~22~10~22~22~80~30
2025-12-29 05:43:00,2025-12-29 07:43:00,176~30~24~10~10~10~26~30~30~80~30~30~84~90~86~84~84~30~30~120~30~22~22~26
2026-01-29 08:22:00,2026-01-29 10:22:00,10~22~10~22~24~120~26~30~30~30~30~30~30~30~84~120~86~82~82~30~30~24~24~10
2025-12-12 07:14:00,2025-12-12 09:14:00,132~30~30~26~10~10~10~22~24~80~30~30~30~30~30~30~30~90~88~120~84~30~30~30
2025-12-06 07:49:00,2025-12-06 09:49:00,30~30~30~24~22~120~22~24~10~26~30~30~30~30~30~120~30~88~90~84~82~30~30~30
2026-01-12 07:00:00,2026-01-12 09:00:00,176~30~30~26~10~10~10~10~22~80~30~30~30~30~30~30~30~86~90~120~82~30~30~30
2025-12-31 07:54:00,2025-12-31 09:54:00,132~30~30~26~10~24~22~22~22~80~26~30~30~30~30~30~30~30~30~120~80~86~82~30
2026-01-29 06:23:00,2026-01-29 08:23:00,176~30~30~26~10~10~22~10~24~80~30~30~30~30~30~86~90~86~84~120~30~30~30~24
