createdTime,minute_diff,hrvValue
2025-11-07 12:00:01,0.0,59
2025-11-07 12:10:01,10.0,126
2025-11-07 12:20:01,10.0,69
2025-11-07 12:30:01,10.0,127
2025-11-07 12:40:01,10.0,123
2025-11-07 12:50:01,10.0,127
2025-11-07 13:00:01,10.0,124
2025-11-07 13:10:01,10.0,111
2025-11-07 13:20:01,10.0,129
2025-11-07 13:30:01,10.0,127
2025-11-07 13:40:01,10.0,48
2025-11-07 13:50:01,10.0,38
2025-11-07 14:00:01,10.0,35
2025-11-07 14:10:01,10.0,124
2025-11-07 14:20:01,10.0,69
2025-11-07 14:30:01,10.0,121
2025-11-07 14:40:01,10.0,121
2025-11-07 14:50:01,10.0,129
2025-11-07 15:00:01,10.0,98
2025-11-07 15:10:01,10.0,120
2025-11-07 15:20:01,10.0,128
2025-11-07 15:30:01,10.0,95
2025-11-07 15:40:01,10.0,110
2025-11-07 15:50:01,10.0,120
2025-11-07 16:00:01,10.0,59
2025-11-07 16:10:01,10.0,116
2025-11-07 16:20:01,10.0,126
2025-11-07 16:30:01,10.0,122
2025-11-07 16:40:01,10.0,128
2025-11-07 16:50:01,10.0,63
2025-11-07 17:00:01,10.0,81
2025-11-07 17:10:01,10.0,34
2025-11-07 17:20:01,10.0,43
2025-11-07 17:30:01,10.0,101
2025-11-07 17:40:01,10.0,119
2025-11-07 17:50:01,10.0,128
2025-11-07 18:00:01,10.0,122
2025-11-07 18:10:01,10.0,127
2025-11-07 18:20:01,10.0,126
2025-11-07 18:30:01,10.0,122
2025-11-07 18:40:01,10.0,124
2025-11-07 18:50:01,10.0,124
2025-11-07 19:00:01,10.0,128
2025-11-07 19:10:01,10.0,124
2025-11-07 19:20:01,10.0,126
2025-11-07 19:30:01,10.0,129
2025-11-07 19:40:01,10.0,124
2025-11-07 19:50:01,10.0,124
2025-11-07 20:00:01,10.0,75
2025-11-07 20:10:01,10.0,118
2025-11-07 20:20:01,10.0,122
2025-11-07 20:30:01,10.0,116
2025-11-07 20:40:01,10.0,128
2025-11-07 20:50:01,10.0,127
2025-11-07 21:00:01,10.0,44
2025-11-07 21:10:01,10.0,69
2025-11-07 21:20:01,10.0,53
2025-11-07 21:30:01,10.0,39
2025-11-07 21:40:01,10.0,34
2025-11-07 21:50:01,10.0,52
2025-11-07 22:00:01,10.0,34
2025-11-07 22:10:01,10.0,128
2025-11-07 22:20:01,10.0,102
2025-11-07 22:30:01,10.0,57
2025-11-07 22:40:01,10.0,34
2025-11-07 22:50:01,10.0,60
2025-11-07 23:00:01,10.0,129
2025-11-07 23:10:01,10.0,34
2025-11-07 23:20:01,10.0,40
2025-11-07 23:30:01,10.0,81
2025-11-07 23:40:01,10.0,43
2025-11-07 23:50:01,10.0,88
2025-11-08 00:00:01,10.0,127
2025-11-08 00:10:01,10.0,122
2025-11-08 00:20:01,10.0,122
2025-11-08 00:30:01,10.0,38
2025-11-08 00:40:01,10.0,53
2025-11-08 00:50:01,10.0,31
2025-11-08 01:00:01,10.0,62
2025-11-08 01:10:01,10.0,90
2025-11-08 01:20:01,10.0,47
2025-11-08 01:30:01,10.0,35
2025-11-08 01:40:01,10.0,60
2025-11-08 01:50:01,10.0,43
2025-11-08 02:00:01,10.0,32
2025-11-08 02:10:01,10.0,31
2025-11-08 02:20:01,10.0,31
2025-11-08 04:40:01,140.0,45
2025-11-08 04:50:01,10.0,122
2025-11-08 05:00:01,10.0,38
2025-11-08 05:10:01,10.0,34
2025-11-08 05:20:01,10.0,71
2025-11-08 05:30:01,10.0,94
2025-11-08 05:40:01,10.0,52
2025-11-08 05:50:01,10.0,123
2025-11-08 06:00:01,10.0,34
2025-11-08 06:10:01,10.0,128
2025-11-08 06:20:01,10.0,105
2025-11-08 06:30:01,10.0,70
2025-11-08 06:40:01,10.0,43
2025-11-08 06:50:01,10.0,61
2025-11-08 07:00:01,10.0,39
2025-11-08 07:10:01,10.0,58
2025-11-08 07:20:01,10.0,43
2025-11-08 07:30:01,10.0,65
2025-11-08 07:40:01,10.0,113
2025-11-08 07:50:01,10.0,36
2025-11-08 08:00:01,10.0,32
2025-11-08 08:10:01,10.0,30
2025-11-08 08:20:01,10.0,28
2025-11-08 08:40:01,20.0,49
2025-11-08 08:50:01,10.0,36
2025-11-08 09:00:01,10.0,35
2025-11-08 09:10:01,10.0,34
2025-11-08 09:20:01,10.0,32
2025-11-08 11:30:01,130.0,40
2025-11-08 11:40:01,10.0,67
2025-11-08 11:50:01,10.0,124
2025-11-08 12:00:01,10.0,83
2025-11-08 12:10:01,10.0,122
2025-11-08 12:20:01,10.0,129
2025-11-08 12:30:01,10.0,121
2025-11-08 12:40:01,10.0,86
2025-11-08 12:50:01,10.0,126
2025-11-08 13:00:01,10.0,93
2025-11-08 13:10:01,10.0,121
2025-11-08 13:20:01,10.0,121
2025-11-08 13:30:01,10.0,127
2025-11-08 13:40:01,10.0,99
2025-11-08 13:50:01,10.0,96
2025-11-08 14:00:01,10.0,120
2025-11-08 14:10:01,10.0,111
2025-11-08 14:20:01,10.0,106
2025-11-08 14:40:01,20.0,121
2025-11-08 14:50:01,10.0,127
2025-11-08 15:00:01,10.0,127
2025-11-08 15:10:01,10.0,128
2025-11-08 15:20:01,10.0,73
2025-11-08 15:30:01,10.0,122
2025-11-08 15:40:01,10.0,95
2025-11-08 15:50:01,10.0,119
2025-11-08 16:00:01,10.0,127
2025-11-08 16:10:01,10.0,123
2025-11-08 16:20:01,10.0,125
2025-11-08 16:30:01,10.0,120
2025-11-08 16:40:01,10.0,121
2025-11-08 16:50:01,10.0,125
2025-11-08 17:00:01,10.0,124
2025-11-08 17:10:01,10.0,124
2025-11-08 17:20:01,10.0,110
2025-11-08 17:30:01,10.0,125
2025-11-08 17:40:01,10.0,122
2025-11-08 17:50:01,10.0,120
2025-11-08 18:00:01,10.0,128
2025-11-08 18:10:01,10.0,121
2025-11-08 18:20:01,10.0,115
2025-11-08 18:30:01,10.0,126
2025-11-08 18:40:01,10.0,48
2025-11-08 18:50:01,10.0,120
2025-11-08 19:00:01,10.0,129
2025-11-08 19:10:01,10.0,121
2025-11-08 19:20:01,10.0,128
2025-11-08 19:30:01,10.0,119
2025-11-08 19:40:01,10.0,124
2025-11-08 19:50:01,10.0,128
2025-11-08 20:00:01,10.0,87
2025-11-08 20:10:01,10.0,59
2025-11-08 20:20:01,10.0,71
2025-11-08 20:30:01,10.0,54
2025-11-08 20:40:01,10.0,125
2025-11-08 20:50:01,10.0,111
2025-11-08 21:00:01,10.0,127
2025-11-08 21:10:01,10.0,128
