logDateTime,logEndTime,description
2026-01-13 06:49:00,2026-01-13 08:49:00,10~120~30~30~30~30~30~30~30~84~88~120~82~82~30~30~28~22~22~10~10~120~26~30
2026-02-17 10:27:00,2026-02-17 12:27:00,22~10~22~22~22~120~30~30~30~30~30~88~88~86~84~120~30~30~24~24~22~10~10~30
2026-03-01 12:21:00,2026-03-01 14:01:00,192~30~30~30~30~30~30~30~30~80~30~26~22~10~10~82~90~86~84~120
2026-03-13 09:03:00,2026-03-13 11:03:00,30~120~30~30~30~30~30~30~90~88~88~120~30~30~30~30~26~10~10~10~10~120~30~30
2026-02-25 10:25:00,2026-02-25 11:25:00,22~10~10~22~30~120~30~30~30~30~30~30
2026-03-10 14:39:00,2026-03-10 14:54:00,30~22~22
2026-03-05 23:22:00,2026-03-06 00:12:00,30~30~30~30~30~120~30~30~30~28
2026-03-12 03:58:00,2026-03-12 05:58:00,30~30~30~30~30~120~24~10~22~24~10~10~28~30~88~120~86~86~30~30~30~26~22~10
2026-01-05 11:32:00,2026-01-05 12:27:00,178~30~30~30~10~10~10~22~24~80~30
2026-02-22 11:06:00,2026-02-22 13:06:00,176~30~30~30~24~10~10~10~10~80~30~30~30~30~30~30~30~82~90~120~84~82~30~30
2026-03-11 22:34:00,2026-03-12 00:34:00,226~30~30~30~30~30~30~30~30~80~28~22~10~10~24~22~86~88~86~120~30~30~30~30
2026-03-10 10:39:00,2026-03-10 12:39:00,22~120~10~30~30~30~30~30~30~30~88~120~88~82~30~30~30~30~22~10~10~120~30~30
2026-03-14 07:36:00,2026-03-14 09:36:00,28~120~22~10~10~22~24~30~30~30~30~120~30~30~30~30~90~88~84~82~30~120~26~26
2026-01-06 12:40:00,2026-01-06 13:55:00,132~30~30~30~30~30~30~30~30~80~30~28~28~22~22
2026-03-13 23:18:00,2026-03-14 01:08:00,196~30~30~30~30~30~30~30~30~80~28~24~10~10~28~90~82~28~84~120~30~30
2026-01-09 07:13:00,2026-01-09 09:13:00,194~30~30~30~26~10~10~10~10~80~30~30~30~30~30~84~86~88~84~120~30~30~28~28
2026-01-05 12:39:00,2026-01-05 13:29:00,132~30~30~30~30~30~30~30~30~80
2026-03-15 07:07:00,2026-03-15 09:07:00,30~82~90~90~86~30~30~30~30~120~10~10~10~22~30~30~30~30~84~120~90~82~82~30
2026-02-22 15:05:00,2026-02-22 15:25:00,30~120~26~28
2026-01-04 17:45:00,2026-01-04 18:45:00,30~30~30~30~28~120~10~10~28~90~28~30
2026-02-17 06:19:00,2026-02-17 08:19:00,178~30~30~30~26~10~10~10~10~80~30~30~30~30~30~30~86~84~88~120~30~30~28~26
2026-01-09 11:12:00,2026-01-09 13:12:00,10~120~22~10~24~30~30~30~30~30~30~120~90~86~88~82~30~30~30~30~30~120~30~30
2026-03-14 11:36:00,2026-03-14 13:36:00,10~30~30~120~30~84~88~88~86~30~30~30~30~120~30~30~30~30~30~30~30~24~26~120
2026-01-13 08:49:00,2026-01-13 09:29:00,30~30~30~30~30~30~88~120
2026-03-11 06:02:00,2026-03-11 08:02:00,30~120~30~30~30~30~88~88~86~82~30~120~30~24~24~22~10~10~10~28~30~120~30~30
2026-02-24 05:55:00,2026-02-24 07:55:00,132~30~30~30~26~10~24~10~10~80~30~30~30~30~30~30~90~86~86~120~30~30~30~26
2026-03-11 08:02:00,2026-03-11 10:02:00,30~30~82~90~90~84~30~120~30~30~30~24~10~10~10~10~28~120~30~30~86~90~86~84
2026-01-07 13:18:00,2026-01-07 14:03:00,194~30~30~30~30~30~30~30~30
2026-01-07 01:04:00,2026-01-07 02:09:00,194~30~30~30~30~30~30~30~30~80~30~28~30
2026-03-15 03:07:00,2026-03-15 05:07:00,30~30~30~30~30~30~26~120~22~24~86~88~82~30~30~30~30~120~26~10~24~10~10~10
2026-03-01 09:33:00,2026-03-01 11:33:00,22~10~26~30~30~120~30~84~88~86~86~84~30~30~24~120~10~10~10~22~30~30~30~30
2026-03-11 12:02:00,2026-03-11 14:02:00,30~26~26~24~10~26~30~30~30~120~28~28~90~84~82~30~30~30~30~120~30~30~30~30
2026-03-13 15:03:00,2026-03-13 15:18:00,30~30~30
2026-03-01 15:16:00,2026-03-01 17:16:00,198~30~30~30~30~30~30~30~30~80~30~30~26~24~90~86~82~82~30~120~30~30~30~30
2026-03-01 11:33:00,2026-03-01 11:53:00,30~120~30~30
2026-02-22 04:59:00,2026-02-22 05:19:00,30~120~84~30
2026-03-14 23:07:00,2026-03-15 01:07:00,30~30~30~30~30~120~30~30~30~30~30~26~10~10~10~120~10~26~82~90~88~84~82~30
2026-01-06 10:12:00,2026-01-06 12:12:00,26~120~30~30~30~30~30~30~30~30~86~120~84~82~82~30~26~24~10~22~10~120~28~30
2026-03-15 09:07:00,2026-03-15 09:42:00,30~30~30~24~10~120~10
2026-03-14 05:36:00,2026-03-14 07:36:00,30~30~26~24~22~120~10~22~10~26~30~30~30~30~30~120~30~30~90~90~86~82~30~30
2026-01-07 10:37:00,2026-01-07 12:32:00,30~30~28~10~24~120~10~10~26~30~30~30~30~30~30~120~90~86~86~84~30~30~30
2026-01-09 13:12:00,2026-01-09 13:32:00,30~28~24~24
2026-02-21 11:20:00,2026-02-21 12:55:00,10~10~22~30~30~120~30~30~30~30~30~90~88~84~82~120~30~30~30
2026-03-05 21:23:00,2026-03-05 23:23:00,210~30~30~30~30~30~30~30~30~80~30~28~10~22~10~22~10~24~30~120~80~88~82~30
2026-02-22 00:16:00,2026-02-22 00:56:00,194~30~30~30~30~30~30~30
2026-01-11 14:51:00,2026-01-11 15:56:00,196~30~30~30~30~30~30~30~30~80~28~26~22
2026-01-04 12:49:00,2026-01-04 14:49:00,176~30~30~30~30~30~30~30~30~80~28~22~84~90~82~84~30~30~30~120~30~30~30~30
2026-03-14 09:36:00,2026-03-14 11:36:00,10~10~10~10~30~30~30~120~30~30~30~30~90~88~86~84~30~120~30~28~24~10~10~22
2026-02-22 13:05:00,2026-02-22 15:05:00,30~30~30~30~30~120~30~30~24~24~90~82~30~28~30~120~30~30~30~30~30~30~30~30
2026-02-26 01:23:00,2026-02-26 02:23:00,226~30~30~30~30~30~30~30~30~80~30~30
2026-02-18 12:55:00,2026-02-18 13:10:00,30~30~30
2026-03-12 09:58:00,2026-03-12 11:58:00,30~84~90~120~86~30~30~30~28~26~10~10~10~120~30~30~30~30~86~90~84~86~30~120
2026-02-24 07:54:00,2026-02-24 08:29:00,22~10~10~10~30~120~30
2026-02-25 11:33:00,2026-02-25 13:18:00,132~30~28~26~26~24~10~22~10~80~30~30~30~30~30~30~30~90~88~120~82
2026-03-15 05:07:00,2026-03-15 07:07:00,24~30~30~120~30~30~30~30~30~84~88~88~82~120~30~30~24~24~10~10~22~30~30~120
2026-03-13 11:03:00,2026-03-13 13:03:00,30~84~90~88~86~30~30~120~28~10~10~10~10~30~30~30~30~120~86~90~88~84~30~30
2026-01-08 10:44:00,2026-01-08 12:44:00,88~120~86~30~30~30~28~22~10~22~22~120~30~30~30~30~84~90~84~86~30~120~30~30
2026-01-08 12:44:00,2026-01-08 13:54:00,30~30~30~30~30~30~30~120~22~84~90~86~82~30
2026-01-04 00:51:00,2026-01-04 02:36:00,194~30~30~30~30~30~30~30~30~80~30~28~24~24~10~22~10~82~88~120~30
2026-01-10 07:09:00,2026-01-10 08:34:00,22~26~10~10~10~120~30~30~30~30~30~30~30~30~90~120~86
2026-03-11 04:02:00,2026-03-11 06:02:00,30~30~30~30~30~120~22~22~22~26~84~88~30~82~30~120~28~22~10~10~10~22~30~30
2026-02-18 08:45:00,2026-02-18 09:20:00,30~26~10~10~10~120~30
2026-03-12 11:58:00,2026-03-12 13:58:00,30~28~10~10~10~10~30~30~30~120~30~90~88~88~30~30~30~30~30~120~30~30~30~30
2026-03-12 01:59:00,2026-03-12 03:59:00,234~30~30~30~30~30~30~30~30~80~30~24~22~10~10~10~24~26~86~120~84~84~30~30
2026-02-20 12:37:00,2026-02-20 13:37:00,30~30~30~30~30~120~30~24~10~10~10~10
2026-02-22 01:00:00,2026-02-22 03:00:00,196~30~30~30~30~30~30~30~30~80~30~28~24~84~90~84~86~30~30~120~30~30~30~30
2026-01-04 14:48:00,2026-01-04 15:33:00,30~30~30~30~24~120~90~86~86
2026-03-11 02:03:00,2026-03-11 04:03:00,194~30~30~30~30~30~30~30~30~80~30~28~22~10~22~90~90~28~26~120~30~30~30~30
2026-01-11 10:08:00,2026-01-11 12:08:00,176~30~30~30~22~10~10~10~22~80~28~30~30~30~30~30~30~84~90~120~82~82~30~30
2026-03-10 12:39:00,2026-03-10 14:39:00,30~28~22~10~28~30~30~120~30~86~90~82~86~82~30~30~30~120~30~30~30~30~30~30
2026-03-12 07:58:00,2026-03-12 09:58:00,24~30~30~30~30~30~84~120~86~84~30~30~30~28~10~22~10~120~22~30~30~30~30~30
2026-01-04 15:46:00,2026-01-04 17:46:00,194~30~30~30~30~30~30~30~30~80~26~22~10~22~86~90~24~82~30~120~30~30~30~30
2026-03-12 05:58:00,2026-03-12 07:58:00,10~120~10~30~30~30~30~30~30~30~30~120~88~86~84~30~30~30~28~24~10~120~10~10
2026-01-04 20:20:00,2026-01-04 22:20:00,200~30~30~30~30~30~30~30~30~80~30~28~22~22~10~88~86~86~28~120~30~30~30~30
2026-02-20 10:38:00,2026-02-20 12:38:00,186~30~26~10~10~10~10~24~30~80~30~30~30~30~30~30~82~88~90~120~82~30~30~30
2026-03-12 00:33:00,2026-03-12 00:33:00,
2026-01-06 08:12:00,2026-01-06 10:12:00,10~10~22~22~24~120~30~30~30~30~30~30~84~88~84~120~30~30~28~10~22~22~10~10
2026-02-17 12:27:00,2026-02-17 12:27:00,
2026-03-13 13:03:00,2026-03-13 15:03:00,30~30~30~120~30~30~30~30~30~28~28~10~10~120~88~82~24~82~30~30~30~30~30~120
2026-03-13 05:04:00,2026-03-13 07:04:00,90~30~30~26~10~10~10~10~30~80~30~30~30~88~88~82~82~30~30~120~30~24~10~10
