createdTime,minute_diff,hrvValue
2025-11-07 12:30:01,0.0,89
2025-11-07 12:40:01,10.0,83
2025-11-07 12:50:01,10.0,68
2025-11-07 13:00:01,10.0,123
2025-11-07 13:10:01,10.0,125
2025-11-07 13:20:01,10.0,122
2025-11-07 13:30:01,10.0,125
2025-11-07 13:40:01,10.0,121
2025-11-07 13:50:01,10.0,121
2025-11-07 14:00:01,10.0,122
2025-11-07 14:10:01,10.0,121
2025-11-07 14:20:01,10.0,120
2025-11-07 14:30:01,10.0,122
2025-11-07 14:40:01,10.0,123
2025-11-07 14:50:01,10.0,122
2025-11-07 15:00:01,10.0,127
2025-11-07 15:10:01,10.0,120
2025-11-07 15:20:01,10.0,122
2025-11-07 15:30:01,10.0,120
2025-11-07 16:50:01,80.0,123
2025-11-07 17:20:01,30.0,127
2025-11-07 17:30:01,10.0,69
2025-11-07 17:40:01,10.0,123
2025-11-07 17:50:01,10.0,121
2025-11-07 18:00:01,10.0,129
2025-11-07 18:10:01,10.0,126
2025-11-07 18:20:01,10.0,127
2025-11-07 18:30:01,10.0,126
2025-11-07 18:40:01,10.0,126
2025-11-07 18:50:01,10.0,121
2025-11-07 19:00:01,10.0,63
2025-11-07 19:10:01,10.0,123
2025-11-07 19:20:01,10.0,120
2025-11-07 19:30:01,10.0,82
2025-11-07 19:40:01,10.0,124
2025-11-07 19:50:01,10.0,128
2025-11-07 20:00:01,10.0,105
2025-11-07 20:10:01,10.0,122
2025-11-07 20:20:01,10.0,127
2025-11-07 20:30:01,10.0,129
2025-11-07 20:40:01,10.0,125
2025-11-07 20:50:01,10.0,125
2025-11-07 21:00:01,10.0,125
2025-11-07 21:10:01,10.0,124
2025-11-07 21:20:01,10.0,125
2025-11-07 21:30:01,10.0,120
2025-11-07 21:40:01,10.0,81
2025-11-07 21:50:01,10.0,119
2025-11-07 22:00:01,10.0,104
2025-11-07 22:10:01,10.0,55
2025-11-07 22:20:01,10.0,107
2025-11-07 22:30:01,10.0,126
2025-11-07 22:40:01,10.0,53
2025-11-07 22:50:01,10.0,93
2025-11-07 23:00:01,10.0,77
2025-11-07 23:10:01,10.0,115
2025-11-07 23:20:01,10.0,53
2025-11-07 23:30:01,10.0,124
2025-11-07 23:40:01,10.0,114
2025-11-07 23:50:01,10.0,121
2025-11-08 00:00:01,10.0,80
2025-11-08 00:10:01,10.0,111
2025-11-08 00:20:01,10.0,123
2025-11-08 00:30:01,10.0,53
2025-11-08 00:40:01,10.0,120
2025-11-08 00:50:01,10.0,122
2025-11-08 01:00:01,10.0,126
2025-11-08 01:10:01,10.0,86
2025-11-08 01:20:01,10.0,120
2025-11-08 01:30:01,10.0,117
2025-11-08 01:40:01,10.0,124
2025-11-08 01:50:01,10.0,121
2025-11-08 02:00:01,10.0,124
2025-11-08 02:10:01,10.0,121
2025-11-08 02:20:01,10.0,112
2025-11-08 02:30:01,10.0,86
2025-11-08 02:40:01,10.0,108
2025-11-08 02:50:01,10.0,125
2025-11-08 03:00:01,10.0,97
2025-11-08 03:10:01,10.0,122
2025-11-08 03:20:01,10.0,124
2025-11-08 03:30:01,10.0,126
2025-11-08 03:40:01,10.0,118
2025-11-08 03:50:01,10.0,125
2025-11-08 04:00:01,10.0,120
2025-11-08 04:10:01,10.0,124
2025-11-08 04:20:01,10.0,127
2025-11-08 04:30:01,10.0,124
2025-11-08 04:40:01,10.0,122
2025-11-08 04:50:01,10.0,124
2025-11-08 05:00:01,10.0,122
2025-11-08 05:10:01,10.0,129
2025-11-08 05:20:01,10.0,108
2025-11-08 05:30:01,10.0,125
2025-11-08 05:40:01,10.0,127
2025-11-08 05:50:01,10.0,122
2025-11-08 06:00:01,10.0,122
2025-11-08 06:10:01,10.0,127
2025-11-08 06:20:01,10.0,129
2025-11-08 06:30:01,10.0,122
2025-11-08 06:40:01,10.0,126
2025-11-08 06:50:01,10.0,123
2025-11-08 06:55:32,5.516666666666667,121
2025-11-08 07:10:01,14.483333333333333,124
2025-11-08 07:30:01,20.0,121
2025-11-08 07:40:01,10.0,126
2025-11-08 08:00:01,20.0,127
2025-11-08 08:10:01,10.0,122
2025-11-08 08:20:01,10.0,123
2025-11-08 08:30:01,10.0,120
2025-11-08 08:40:01,10.0,129
2025-11-08 08:50:01,10.0,121
2025-11-08 09:00:01,10.0,122
2025-11-08 09:10:01,10.0,126
2025-11-08 09:20:01,10.0,120
2025-11-08 09:40:01,20.0,123
2025-11-08 10:00:01,20.0,121
2025-11-08 10:10:01,10.0,128
2025-11-08 10:20:01,10.0,115
2025-11-08 10:30:01,10.0,106
2025-11-08 10:40:01,10.0,99
2025-11-08 10:50:01,10.0,128
2025-11-08 11:00:01,10.0,125
2025-11-08 11:10:01,10.0,75
2025-11-08 11:20:01,10.0,123
2025-11-08 11:30:01,10.0,129
2025-11-08 11:40:01,10.0,125
2025-11-08 11:50:01,10.0,125
2025-11-08 12:00:01,10.0,129
2025-11-08 12:10:01,10.0,127
2025-11-08 12:20:01,10.0,129
2025-11-08 12:30:01,10.0,124
2025-11-08 12:40:01,10.0,123
2025-11-08 12:50:01,10.0,78
2025-11-08 13:00:01,10.0,89
2025-11-08 13:10:01,10.0,124
2025-11-08 13:20:01,10.0,124
2025-11-08 13:30:01,10.0,123
2025-11-08 13:40:01,10.0,120
2025-11-08 13:50:01,10.0,124
