createdTime,minute_diff,hrvValue
2025-11-14 11:20:01,0.0,127
2025-11-14 11:30:01,10.0,127
2025-11-14 11:40:01,10.0,122
2025-11-14 11:50:01,10.0,121
2025-11-14 12:00:01,10.0,128
2025-11-14 12:20:01,20.0,25
2025-11-14 12:30:01,10.0,28
2025-11-14 12:40:01,10.0,72
2025-11-14 12:50:01,10.0,80
2025-11-14 13:00:01,10.0,68
2025-11-14 13:10:01,10.0,46
2025-11-14 15:10:01,120.0,39
2025-11-14 15:20:01,10.0,129
2025-11-14 15:30:01,10.0,30
2025-11-14 15:40:01,10.0,27
2025-11-14 15:50:01,10.0,28
2025-11-14 16:00:01,10.0,108
2025-11-14 16:10:01,10.0,27
2025-11-14 16:20:01,10.0,34
2025-11-14 16:30:01,10.0,125
2025-11-14 16:40:01,10.0,127
2025-11-14 16:50:01,10.0,124
2025-11-14 19:00:01,130.0,122
2025-11-14 19:10:01,10.0,126
2025-11-14 19:30:01,20.0,91
2025-11-14 19:40:01,10.0,113
2025-11-17 12:10:01,3870.0,92
2025-11-17 12:20:01,10.0,98
2025-11-17 12:30:01,10.0,78
2025-11-17 12:40:01,10.0,71
2025-11-17 12:50:01,10.0,85
2025-11-17 13:00:01,10.0,57
2025-11-17 13:10:01,10.0,76
2025-11-17 13:20:01,10.0,66
2025-11-17 13:30:01,10.0,60
2025-11-17 13:40:01,10.0,58
2025-11-17 13:50:01,10.0,108
2025-11-17 14:00:01,10.0,65
2025-11-17 14:10:01,10.0,78
2025-11-17 14:20:01,10.0,73
2025-11-17 14:30:01,10.0,74
2025-11-17 14:40:01,10.0,92
2025-11-17 14:50:01,10.0,73
2025-11-17 15:00:01,10.0,83
2025-11-17 15:10:01,10.0,89
2025-11-17 15:20:01,10.0,77
2025-11-17 15:30:01,10.0,64
2025-11-17 15:40:01,10.0,51
2025-11-17 15:50:01,10.0,104
2025-11-17 16:00:01,10.0,75
2025-11-17 16:10:01,10.0,89
2025-11-17 16:20:01,10.0,60
2025-11-17 16:30:01,10.0,82
2025-11-17 16:40:01,10.0,102
2025-11-17 16:50:01,10.0,71
2025-11-17 17:00:01,10.0,96
2025-11-17 17:10:01,10.0,74
2025-11-17 17:20:01,10.0,68
2025-11-17 17:30:01,10.0,77
2025-11-17 17:40:01,10.0,85
2025-11-17 17:50:01,10.0,78
2025-11-17 18:00:01,10.0,77
2025-11-17 18:10:01,10.0,78
2025-11-17 18:20:01,10.0,83
2025-11-17 18:30:01,10.0,83
2025-11-17 18:40:01,10.0,78
2025-11-17 18:50:01,10.0,101
2025-11-17 19:00:01,10.0,82
2025-11-17 19:10:01,10.0,86
2025-11-17 19:20:01,10.0,67
2025-11-17 19:30:01,10.0,86
2025-11-17 19:40:01,10.0,60
2025-11-17 19:50:01,10.0,60
2025-11-17 20:00:01,10.0,105
2025-11-17 20:10:01,10.0,76
2025-11-17 20:20:01,10.0,77
2025-11-17 20:30:01,10.0,82
2025-11-17 20:40:01,10.0,91
2025-11-17 20:50:01,10.0,82
2025-11-17 21:00:01,10.0,44
2025-11-17 21:10:01,10.0,88
2025-11-17 21:20:01,10.0,90
2025-11-17 21:30:01,10.0,57
2025-11-17 21:40:01,10.0,97
2025-11-17 21:50:01,10.0,95
2025-11-17 22:00:01,10.0,90
2025-11-17 22:10:01,10.0,80
2025-11-17 22:20:01,10.0,55
2025-11-17 22:30:01,10.0,103
2025-11-17 22:40:01,10.0,79
2025-11-17 22:50:01,10.0,67
2025-11-17 23:00:01,10.0,91
2025-11-17 23:10:01,10.0,93
2025-11-17 23:20:01,10.0,72
2025-11-17 23:30:01,10.0,68
2025-11-17 23:40:01,10.0,97
2025-11-17 23:50:01,10.0,77
2025-11-18 00:00:01,10.0,115
2025-11-18 00:10:01,10.0,72
2025-11-18 00:20:01,10.0,98
2025-11-18 00:30:01,10.0,70
2025-11-18 00:40:01,10.0,73
2025-11-18 00:50:01,10.0,100
2025-11-18 01:00:01,10.0,99
2025-11-18 01:10:01,10.0,107
2025-11-18 01:20:01,10.0,100
2025-11-18 01:30:01,10.0,67
2025-11-18 01:40:01,10.0,79
2025-11-18 01:50:01,10.0,70
2025-11-18 02:00:01,10.0,73
2025-11-18 02:10:01,10.0,86
2025-11-18 02:20:01,10.0,104
2025-11-18 02:30:01,10.0,90
2025-11-18 02:40:01,10.0,72
2025-11-18 02:50:01,10.0,93
2025-11-18 03:00:01,10.0,104
2025-11-18 03:10:01,10.0,83
2025-11-18 03:20:01,10.0,67
2025-11-18 03:30:01,10.0,64
2025-11-18 03:40:01,10.0,80
2025-11-18 03:50:01,10.0,87
2025-11-18 04:00:01,10.0,104
2025-11-18 04:10:01,10.0,82
2025-11-18 04:20:01,10.0,92
2025-11-18 04:30:01,10.0,81
2025-11-18 04:40:01,10.0,101
2025-11-18 04:50:01,10.0,100
2025-11-18 05:00:01,10.0,80
2025-11-18 05:10:01,10.0,62
2025-11-18 05:20:01,10.0,71
2025-11-18 05:30:01,10.0,63
2025-11-18 05:40:01,10.0,50
2025-11-18 05:50:01,10.0,80
2025-11-18 06:00:01,10.0,61
2025-11-18 06:10:01,10.0,106
2025-11-18 06:20:01,10.0,76
2025-11-18 06:30:01,10.0,79
2025-11-18 06:40:01,10.0,67
2025-11-18 06:50:01,10.0,79
2025-11-18 07:00:01,10.0,86
2025-11-18 07:10:01,10.0,80
2025-11-18 07:20:01,10.0,83
2025-11-18 07:30:01,10.0,57
2025-11-18 07:40:01,10.0,107
2025-11-18 07:50:01,10.0,97
2025-11-18 08:00:01,10.0,88
2025-11-18 08:10:01,10.0,89
2025-11-18 08:20:01,10.0,72
2025-11-18 08:30:01,10.0,62
2025-11-18 08:40:01,10.0,79
2025-11-18 08:50:01,10.0,77
2025-11-18 09:00:01,10.0,90
2025-11-18 09:10:01,10.0,75
2025-11-18 09:20:01,10.0,71
2025-11-18 09:30:01,10.0,80
2025-11-18 09:40:01,10.0,54
2025-11-18 09:50:01,10.0,71
2025-11-18 10:00:01,10.0,68
2025-11-18 10:10:01,10.0,88
2025-11-18 10:20:01,10.0,75
2025-11-18 10:30:01,10.0,92
2025-11-18 10:40:01,10.0,114
2025-11-18 10:50:01,10.0,83
2025-11-18 11:00:01,10.0,75
2025-11-18 11:10:01,10.0,100
2025-11-18 11:20:01,10.0,95
2025-11-18 11:30:01,10.0,59
2025-11-18 11:40:01,10.0,76
2025-11-18 11:50:01,10.0,90
2025-11-18 12:00:01,10.0,85
2025-11-18 12:10:01,10.0,67
2025-11-18 12:20:01,10.0,58
2025-11-18 12:30:01,10.0,58
2025-11-18 12:40:01,10.0,112
2025-11-18 12:50:01,10.0,105
2025-11-18 13:00:01,10.0,70
