createdTime,spo2Value
2026-04-21 01:00:28,99
2025-12-13 05:00:31,97
2026-04-21 02:40:31,99
2025-12-12 17:54:08,97
2025-12-12 18:00:29,97
2026-04-21 04:20:33,99
2025-12-20 02:00:34,99
2025-12-17 04:50:37,99
2025-12-20 03:40:29,99
2026-04-25 01:40:30,97
2026-05-10 16:20:46,98
2026-05-11 04:30:30,97
2026-05-11 01:00:29,97
2025-11-18 05:20:28,99
2025-11-17 01:50:37,97
2026-05-11 02:40:27,97
2025-11-17 03:30:28,97
2026-04-12 17:50:28,99
2026-03-09 01:30:27,99
2025-11-19 01:30:43,99
2025-12-11 02:20:49,97
2025-11-19 06:37:42,97
2025-12-11 04:00:37,98
2026-04-20 04:40:13,97
2026-04-23 04:10:43,97
