createdTime,minute_diff,hrvValue
2025-12-09 11:20:01,0.0,69
2025-12-09 11:40:01,20.0,54
2025-12-09 11:50:01,10.0,98
2025-12-09 12:00:01,10.0,105
2025-12-09 12:10:01,10.0,28
2025-12-09 12:20:01,10.0,77
2025-12-09 12:30:01,10.0,123
2025-12-09 12:40:01,10.0,121
2025-12-09 12:50:01,10.0,121
2025-12-09 13:00:01,10.0,36
2025-12-09 13:10:01,10.0,113
2025-12-09 13:20:01,10.0,52
2025-12-09 13:30:01,10.0,72
2025-12-09 13:40:01,10.0,117
2025-12-09 14:00:01,20.0,96
2025-12-09 14:10:01,10.0,88
2025-12-09 14:40:01,30.0,127
2025-12-09 14:50:01,10.0,126
2025-12-09 17:50:01,180.0,125
2025-12-09 18:00:01,10.0,124
2025-12-09 18:10:01,10.0,104
2025-12-09 18:40:01,30.0,122
2025-12-09 18:50:01,10.0,127
2025-12-09 19:00:01,10.0,123
2025-12-09 19:10:01,10.0,70
2025-12-09 19:14:26,4.416666666666667,42
2025-12-09 19:40:01,25.583333333333332,38
2025-12-09 19:50:01,10.0,128
2025-12-09 20:00:01,10.0,121
2025-12-09 20:10:01,10.0,120
2025-12-09 20:20:01,10.0,109
2025-12-09 20:30:01,10.0,76
2025-12-09 20:40:01,10.0,123
2025-12-09 20:50:01,10.0,38
2025-12-09 21:10:01,20.0,129
2025-12-09 21:20:01,10.0,87
2025-12-09 21:50:01,30.0,66
2025-12-09 22:00:01,10.0,68
2025-12-09 22:10:01,10.0,67
2025-12-09 22:20:01,10.0,121
2025-12-09 22:30:01,10.0,95
2025-12-09 22:40:01,10.0,125
2025-12-09 22:50:01,10.0,47
2025-12-09 23:00:01,10.0,120
2025-12-09 23:10:01,10.0,31
2025-12-09 23:20:01,10.0,123
2025-12-09 23:30:01,10.0,58
2025-12-09 23:40:01,10.0,40
2025-12-09 23:50:01,10.0,54
2025-12-10 00:00:01,10.0,64
2025-12-10 00:10:01,10.0,59
2025-12-10 00:20:01,10.0,71
2025-12-10 00:30:01,10.0,56
2025-12-10 00:40:01,10.0,71
2025-12-10 00:50:01,10.0,73
2025-12-10 02:10:01,80.0,53
2025-12-10 02:20:01,10.0,43
2025-12-10 06:50:01,270.0,48
2025-12-10 07:00:01,10.0,128
2025-12-10 07:10:01,10.0,126
2025-12-10 07:20:01,10.0,112
2025-12-10 07:30:01,10.0,123
2025-12-10 07:40:01,10.0,129
2025-12-10 07:50:01,10.0,98
2025-12-10 08:00:01,10.0,36
2025-12-10 08:10:01,10.0,127
2025-12-10 08:20:01,10.0,68
2025-12-10 08:30:01,10.0,128
2025-12-10 08:40:01,10.0,129
2025-12-10 09:10:01,30.0,34
2025-12-10 09:20:01,10.0,122
2025-12-10 09:30:01,10.0,125
2025-12-10 09:40:01,10.0,96
2025-12-10 09:50:01,10.0,120
2025-12-10 10:10:01,20.0,35
2025-12-10 10:20:01,10.0,128
2025-12-10 10:30:01,10.0,47
2025-12-10 10:40:01,10.0,121
2025-12-10 10:50:01,10.0,97
2025-12-10 11:00:01,10.0,121
2025-12-10 11:10:01,10.0,124
2025-12-10 11:20:01,10.0,125
2025-12-10 11:30:01,10.0,129
2025-12-10 11:40:01,10.0,44
2025-12-10 11:50:01,10.0,128
2025-12-10 12:00:01,10.0,123
2025-12-10 12:10:01,10.0,124
2025-12-10 12:20:01,10.0,125
2025-12-10 12:30:01,10.0,121
2025-12-10 12:40:01,10.0,120
2025-12-10 12:50:01,10.0,128
2025-12-10 13:00:01,10.0,68
2025-12-10 13:10:01,10.0,95
2025-12-10 13:20:01,10.0,73
2025-12-10 13:30:01,10.0,128
2025-12-10 13:40:01,10.0,82
2025-12-10 13:50:01,10.0,79
2025-12-10 14:00:01,10.0,61
2025-12-10 14:10:01,10.0,73
2025-12-10 14:20:01,10.0,81
2025-12-10 14:30:01,10.0,59
2025-12-10 14:40:01,10.0,61
2025-12-10 14:50:01,10.0,87
2025-12-10 15:00:01,10.0,105
