logDateTime,logEndTime,description
2025-12-30 05:05:00,2025-12-30 07:05:00,176~30~30~24~10~10~10~22~22~80~30~30~30~30~30~30~30~90~88~120~84~30~30~30
2025-12-30 07:04:00,2025-12-30 09:04:00,30~22~10~10~22~120~24~22~30~30~30~30~30~30~30~120~90~88~86~30~30~30~30~28
2025-12-30 09:04:00,2025-12-30 11:04:00,22~120~26~22~10~26~30~30~30~30~82~120~90~86~30~30~30~28~24~10~24~120~24~26
2025-12-30 11:04:00,2025-12-30 11:09:00,30
2026-02-04 00:16:00,2026-02-04 00:31:00,30~30~30
2026-02-03 22:17:00,2026-02-04 00:17:00,254~30~30~30~30~30~30~30~30~80~30~24~10~10~10~28~90~86~26~120~30~30~30~30
2025-12-14 21:42:00,2025-12-14 22:32:00,202~30~30~30~30~30~30~30~30~80
2025-12-10 07:49:00,2025-12-10 09:49:00,132~30~30~24~22~22~10~10~24~80~30~30~30~30~30~88~90~88~84~120~30~30~10~10
2025-12-10 21:27:00,2025-12-10 22:42:00,194~30~30~30~30~30~30~30~30~80~30~28~24~28~30
2025-12-10 09:48:00,2025-12-10 11:48:00,24~10~22~30~30~120~30~30~30~86~90~86~30~30~30~120~22~22~22~22~22~26~30~30
2025-12-10 11:48:00,2025-12-10 12:13:00,30~120~30~82~90
2025-12-10 05:33:00,2025-12-10 07:28:00,212~30~30~30~26~10~10~10~10~80~30~30~30~30~30~84~88~86~86~120~30~30~28
2026-02-21 06:05:00,2026-02-21 06:35:00,176~30~30~26~10~10
2026-02-21 07:04:00,2026-02-21 09:04:00,202~30~30~30~10~10~10~10~26~80~30~30~30~86~90~86~82~30~30~120~30~30~22~22
2026-02-21 09:03:00,2026-02-21 10:38:00,24~22~22~10~10~120~30~30~30~30~30~30~30~88~90~120~86~30~30
2026-02-20 11:41:00,2026-02-20 13:01:00,132~30~30~30~24~10~10~22~10~80~30~30~30~82~88~90
2026-02-20 04:33:00,2026-02-20 06:33:00,52~30~30~24~10~10~10~10~10~80~30~30~30~30~30~30~30~30~30~120~80~84~30~30
2026-02-20 10:32:00,2026-02-20 11:32:00,30~30~30~30~30~30~30~120~88~86~82~30
2026-02-20 08:32:00,2026-02-20 10:32:00,22~120~10~22~10~30~30~30~30~30~82~120~90~82~82~30~30~30~10~10~10~120~22~30
2026-02-20 06:32:00,2026-02-20 08:32:00,30~28~24~10~24~120~10~10~30~30~30~30~30~30~30~120~80~88~82~82~30~30~30~26
2025-12-11 06:05:00,2025-12-11 06:45:00,186~30~30~30~30~10~10~24
2025-12-11 07:38:00,2025-12-11 08:23:00,176~30~30~10~10~10~10~24~24
2025-12-11 10:32:00,2025-12-11 11:17:00,10~10~28~30~30~120~30~30~30
2025-12-11 08:33:00,2025-12-11 10:33:00,132~30~30~30~24~10~10~10~24~80~30~30~30~84~90~86~86~30~30~120~26~22~10~22
2026-02-19 20:03:00,2026-02-19 21:38:00,194~30~30~30~30~30~30~30~30~80~28~26~24~10~10~24~30~82~82
