logDateTime,logEndTime,description
2025-12-25 09:17:00,2025-12-25 11:17:00,132~30~30~26~22~10~22~26~10~80~30~30~30~30~30~88~88~86~82~120~30~30~28~26
2025-12-18 20:17:00,2025-12-18 22:07:00,194~30~30~30~30~30~30~30~30~80~30~30~22~24~22~86~90~26~84~120~30~30
2026-02-13 13:16:00,2026-02-13 14:01:00,24~10~90~84~86~84~30~120~30
2026-02-28 13:06:00,2026-02-28 14:11:00,30~120~30~30~26~22~22~24~10~24~90~120~84
2025-12-26 09:50:00,2025-12-26 11:40:00,132~30~30~30~26~22~24~10~22~80~28~30~30~82~90~88~84~30~30~120~30~22
2026-02-14 07:02:00,2026-02-14 09:02:00,202~30~30~26~10~10~10~10~26~80~30~30~30~30~30~88~90~84~84~120~30~28~28~10
2026-02-13 11:16:00,2026-02-13 13:16:00,10~120~28~24~30~30~30~30~82~90~88~120~30~30~30~30~30~30~30~30~30~120~30~28
2025-12-17 13:33:00,2025-12-17 14:13:00,196~30~30~30~30~30~30~30
2025-12-18 08:07:00,2025-12-18 08:32:00,26~26~24~26~28
2026-02-14 09:01:00,2026-02-14 11:01:00,10~10~26~30~30~120~30~88~90~84~84~30~30~30~26~120~10~22~22~26~30~30~30~30
2025-12-18 06:08:00,2025-12-18 08:08:00,178~30~30~26~10~10~22~22~22~80~30~30~30~30~30~88~82~86~82~120~30~28~22~10
2025-12-18 08:40:00,2025-12-18 10:40:00,202~30~30~26~10~10~10~26~30~80~30~30~88~88~90~84~30~30~30~120~26~24~22~24
2025-12-26 13:47:00,2025-12-26 14:12:00,30~30~30~30~30
2025-12-17 08:23:00,2025-12-17 09:48:00,24~30~30~30~30~120~30~86~88~90~82~30~30~30~28~120~22
2026-02-26 07:14:00,2026-02-26 09:14:00,176~30~28~10~10~10~22~24~30~80~30~30~30~30~82~90~86~84~30~120~30~30~28~24
2026-02-28 07:02:00,2026-02-28 08:42:00,196~30~30~30~28~10~10~10~22~80~26~26~26~30~30~30~30~30~30~120
2025-12-26 14:18:00,2025-12-26 15:08:00,204~30~30~30~30~30~30~30~30~80
2026-02-28 20:18:00,2026-02-28 22:18:00,200~30~30~30~30~30~30~30~30~80~30~22~84~90~84~86~28~30~30~120~30~30~30~30
2026-02-13 07:17:00,2026-02-13 09:17:00,192~30~30~22~10~10~10~10~24~80~30~30~30~30~30~30~30~30~30~120~80~86~84~30
2026-02-28 22:17:00,2026-02-28 22:32:00,30~30~30
2025-12-16 21:18:00,2025-12-16 22:48:00,194~30~30~30~30~30~30~30~30~80~30~30~24~28~88~82~82~30
2026-02-14 11:16:00,2026-02-14 13:16:00,188~30~30~26~10~10~10~10~30~80~30~30~30~30~88~90~86~82~30~120~30~30~30~30
2025-12-25 08:42:00,2025-12-25 09:07:00,30~30~30~30~22
2025-12-18 14:39:00,2025-12-18 15:04:00,30~22~10~22~22
2025-12-18 12:39:00,2025-12-18 14:39:00,26~120~30~30~30~30~30~30~30~84~88~120~86~82~30~30~30~30~30~30~30~120~30~30
2026-02-14 11:01:00,2026-02-14 11:06:00,30
2026-02-28 11:06:00,2026-02-28 13:06:00,22~10~24~30~30~120~30~30~30~30~30~30~88~88~86~120~30~30~30~30~30~30~30~30
2026-02-26 11:02:00,2026-02-26 13:02:00,176~30~30~30~24~10~26~22~24~80~28~30~30~86~90~86~84~30~30~120~30~30~30~30
2026-02-28 09:07:00,2026-02-28 11:07:00,176~30~30~30~30~22~24~26~10~80~10~28~30~30~88~88~86~86~30~120~24~24~10~22
2025-12-17 06:24:00,2025-12-17 08:24:00,194~30~30~30~10~10~10~10~26~80~30~30~30~88~88~88~82~30~30~120~26~22~10~10
2026-02-26 13:01:00,2026-02-26 13:46:00,30~30~30~30~28~120~90~82~30
2025-12-25 13:56:00,2025-12-25 14:21:00,30~30~30~30~30
2025-12-18 10:39:00,2025-12-18 12:39:00,10~22~24~22~30~120~30~30~30~84~88~90~84~82~30~120~24~10~22~24~26~10~30~28
2026-02-27 09:56:00,2026-02-27 11:56:00,24~22~10~26~30~120~30~30~30~30~30~30~86~88~86~120~30~30~30~28~26~22~26~24
2026-02-27 13:41:00,2026-02-27 15:06:00,194~30~30~30~30~30~30~30~30~80~30~24~22~22~22~86~88
2025-12-26 08:50:00,2025-12-26 09:40:00,28~22~10~22~24~120~10~28~30~30
2025-12-17 09:56:00,2025-12-17 11:56:00,180~30~30~30~10~10~10~10~10~80~30~30~30~30~30~30~30~30~88~120~84~82~30~30
2026-02-27 07:57:00,2026-02-27 09:57:00,198~30~30~28~10~10~10~10~28~80~30~30~30~30~86~90~84~86~30~120~26~22~22~26
2025-12-25 11:16:00,2025-12-25 11:51:00,10~10~10~10~22~120~30
2025-12-26 06:51:00,2025-12-26 08:51:00,194~30~30~26~10~10~10~10~22~80~30~30~30~30~30~30~30~30~88~120~88~84~30~30
2026-02-14 13:15:00,2026-02-14 15:15:00,30~30~30~30~30~120~22~10~24~10~22~88~90~30~30~120~30~30~30~30~30~30~30~30
2025-12-25 11:57:00,2025-12-25 13:57:00,132~30~30~10~22~26~26~30~30~80~30~28~10~22~10~30~30~30~30~120~80~86~86~30
2025-12-17 11:55:00,2025-12-17 13:25:00,26~26~22~10~10~120~24~30~30~30~30~30~30~30~86~120~86~86
2025-12-26 11:48:00,2025-12-26 13:48:00,132~30~30~30~22~10~24~10~26~80~30~26~26~26~30~84~90~86~30~120~30~30~30~30
2025-12-25 06:43:00,2025-12-25 08:43:00,194~30~30~30~30~26~10~10~10~80~22~24~30~30~30~30~30~30~30~120~80~88~84~86
2026-02-26 09:13:00,2026-02-26 10:18:00,26~24~24~24~22~120~26~30~30~30~88~88~84
2026-02-13 09:16:00,2026-02-13 11:16:00,30~30~24~10~10~120~22~30~30~30~30~30~30~86~90~120~82~30~30~30~30~24~10~10
2026-01-24 09:37:00,2026-01-24 11:37:00,132~30~30~30~22~22~28~22~26~80~26~10~28~30~30~30~82~86~88~120~84~30~30~28
2026-01-03 08:46:00,2026-01-03 10:46:00,178~30~28~10~10~10~10~22~26~80~30~30~30~30~30~30~30~30~84~120~84~86~82~30
2025-12-10 10:45:00,2025-12-10 12:45:00,90~120~82~30~30~30~24~10~10~10~22~120~28~30~30~30~30~30~30~30~30~120~88~88
2025-11-20 08:50:00,2025-11-20 10:50:00,182~30~30~26~10~10~10~22~24~80~30~30~30~30~30~30~88~88~86~120~30~30~30~30
2025-12-09 21:02:00,2025-12-09 22:17:00,194~30~30~30~30~30~30~30~30~80~30~30~24~10~22
2026-01-24 13:56:00,2026-01-24 15:06:00,196~30~30~30~30~30~30~30~30~80~30~26~24~10
2025-12-10 08:45:00,2025-12-10 10:45:00,10~24~30~30~30~120~90~90~82~82~30~30~30~28~26~120~10~24~22~26~28~30~30~88
2025-11-29 14:24:00,2025-11-29 15:54:00,30~30~30~30~28~120~10~22~10~22~22~22~86~90~86~120~30~30
2025-12-07 06:26:00,2025-12-07 08:26:00,176~30~30~22~10~10~22~22~10~80~30~30~30~30~30~30~30~30~30~120~80~86~84~30
2025-11-20 06:07:00,2025-11-20 08:07:00,194~30~30~30~10~10~10~22~10~80~28~30~30~30~30~30~30~30~30~120~80~86~84~30
2025-12-07 14:12:00,2025-12-07 15:57:00,30~30~30~30~28~120~90~90~84~30~30~30~30~30~30~120~30~30~30~30~30
2025-11-20 14:06:00,2025-11-20 15:01:00,196~30~30~30~30~30~30~30~30~80~30
2025-11-20 10:49:00,2025-11-20 12:49:00,24~22~10~24~10~120~30~30~30~82~90~86~82~30~30~120~30~28~26~10~30~30~30~30
2026-01-24 11:36:00,2026-01-24 13:36:00,24~10~10~22~10~120~30~30~30~30~30~30~30~90~86~120~84~30~30~30~30~30~30~30
2026-01-03 06:14:00,2026-01-03 06:54:00,194~30~30~30~30~24~10~10
2026-01-24 08:46:00,2026-01-24 09:31:00,26~30~24~22~30~120~30~88~84
2025-11-29 09:17:00,2025-11-29 11:17:00,184~30~26~10~10~10~10~28~30~80~30~30~30~30~82~90~86~86~30~120~30~28~28~22
2026-01-03 12:09:00,2026-01-03 14:09:00,178~30~30~30~30~30~30~30~30~80~30~28~22~22~24~22~10~86~86~120~26~30~30~30
2025-12-10 12:45:00,2025-12-10 14:10:00,82~82~30~30~30~30~30~120~30~30~30~30~26~28~22~24~22
2025-11-20 08:06:00,2025-11-20 08:06:00,
2025-12-07 12:13:00,2025-12-07 14:13:00,178~30~30~30~30~30~30~30~30~80~22~10~24~22~90~86~24~86~30~120~30~30~30~30
2025-11-20 12:49:00,2025-11-20 13:59:00,30~120~24~22~10~24~10~24~30~84~88~120~84~30
2026-01-03 07:09:00,2026-01-03 08:34:00,200~30~30~30~10~10~10~10~10~80~30~30~30~30~30~86~86
2025-12-10 06:46:00,2025-12-10 08:46:00,176~30~30~28~10~10~24~24~10~80~30~30~30~84~90~88~30~30~30~120~28~24~22~10
2025-12-07 08:25:00,2025-12-07 10:25:00,30~30~28~10~24~120~22~10~30~30~30~82~88~88~84~120~30~30~24~22~10~10~22~10
2026-01-24 13:36:00,2026-01-24 13:51:00,30~120~30
2026-01-03 10:45:00,2026-01-03 11:50:00,30~30~22~24~22~120~22~10~24~30~30~30~30
2025-11-28 21:03:00,2025-11-28 22:18:00,194~30~30~30~30~30~30~30~30~80~30~24~24~86~86
2025-11-29 11:16:00,2025-11-29 11:36:00,26~26~22~26
2026-01-03 14:08:00,2026-01-03 14:48:00,30~30~30~30~30~120~30~30
2025-12-07 10:25:00,2025-12-07 12:05:00,30~120~30~30~30~30~30~30~30~82~88~120~82~84~30~30~24~10~10~24
2025-11-29 12:25:00,2025-11-29 14:25:00,194~30~30~30~30~30~30~30~30~80~30~30~24~10~88~90~28~82~30~120~30~30~30~30
