logDateTime,logEndTime,description
2026-01-26 11:56:00,2026-01-26 12:46:00,132~30~30~30~26~22~24~30~30~80
2026-01-11 05:44:00,2026-01-11 07:44:00,216~30~30~30~10~10~10~10~10~80~30~30~30~30~30~30~30~30~30~120~80~90~86~82
2026-01-11 09:43:00,2026-01-11 11:43:00,10~120~30~30~30~30~30~84~90~88~82~120~30~30~30~28~26~22~22~22~22~120~30~30
2026-01-26 08:46:00,2026-01-26 10:46:00,30~120~30~88~90~86~84~30~30~30~26~120~22~10~22~24~30~30~30~30~86~120~84~82
2026-02-05 10:24:00,2026-02-05 12:24:00,30~30~30~26~10~120~10~10~22~26~30~30~30~30~30~120~88~86~86~30~30~30~28~24
2026-01-16 05:46:00,2026-01-16 07:46:00,178~30~30~22~10~10~10~26~30~80~30~30~30~90~88~84~82~30~30~120~28~22~22~24
2026-01-26 10:46:00,2026-01-26 11:46:00,30~30~30~30~30~22~10~120~10~10~24~30
2026-01-16 04:21:00,2026-01-16 05:31:00,194~30~30~22~10~10~10~22~30~80~26~30~30~30
2026-02-05 06:59:00,2026-02-05 08:19:00,30~30~22~10~10~120~24~30~30~30~30~82~90~88~86~120
2026-01-11 04:15:00,2026-01-11 05:10:00,212~30~30~28~10~10~10~10~28~80~30
2025-12-25 04:47:00,2025-12-25 06:47:00,200~30~30~26~10~10~10~10~10~80~30~30~30~30~30~30~30~30~30~120~80~88~84~30
2026-01-16 07:45:00,2026-01-16 08:25:00,10~10~22~28~30~120~30~30
2026-01-16 08:37:00,2026-01-16 10:32:00,132~30~30~30~26~10~10~10~22~80~28~30~30~30~30~82~90~84~88~120~30~30~30
2026-02-05 12:24:00,2026-02-05 12:29:00,24
2025-12-25 10:02:00,2025-12-25 12:02:00,132~30~28~26~10~24~24~10~10~80~30~30~30~30~30~30~82~84~90~120~82~30~30~30
2026-01-26 06:46:00,2026-01-26 08:46:00,22~10~22~26~30~120~30~30~82~90~88~82~82~30~30~120~22~10~10~10~24~30~30~30
2026-01-26 04:47:00,2026-01-26 06:47:00,194~30~28~10~10~10~10~22~30~80~30~30~30~30~30~30~82~90~86~120~30~30~30~22
2025-12-25 08:46:00,2025-12-25 09:51:00,26~120~10~22~30~30~30~30~30~30~90~120~86
2026-01-24 12:17:00,2026-01-24 13:07:00,132~30~30~30~30~30~30~30~30~80
2026-01-11 11:43:00,2026-01-11 12:43:00,30~86~88~82~84~30~30~120~30~30~30~30
2026-01-24 09:13:00,2026-01-24 10:48:00,28~120~30~30~30~88~88~86~84~30~30~120~30~28~22~10~10~22~22
2025-12-25 12:01:00,2025-12-25 13:01:00,28~24~10~22~22~120~30~30~24~24~10~30
2026-01-24 07:13:00,2026-01-24 09:13:00,10~10~10~10~26~120~30~30~30~30~30~30~86~90~86~120~30~30~30~28~22~10~10~10
2026-01-24 05:14:00,2026-01-24 07:14:00,222~30~30~30~10~10~10~10~10~80~30~30~30~30~30~86~88~90~84~120~30~30~30~22
2026-01-11 07:43:00,2026-01-11 09:43:00,30~30~24~10~10~120~22~22~30~30~30~30~30~30~30~120~88~88~86~30~30~28~22~10
2026-01-17 11:09:00,2026-01-17 13:09:00,182~30~30~30~30~24~10~22~22~80~26~30~30~30~30~30~90~90~86~120~30~30~30~30
2026-02-05 05:00:00,2026-02-05 07:00:00,212~30~28~22~10~10~10~10~24~80~30~30~30~30~30~30~30~30~82~120~90~84~86~30
