createdTime,minute_diff,hrvValue
2025-12-16 11:10:01,0.0,79
2025-12-16 11:20:01,10.0,117
2025-12-16 11:40:01,20.0,50
2025-12-16 11:50:01,10.0,113
2025-12-16 12:00:01,10.0,71
2025-12-16 12:10:01,10.0,95
2025-12-16 12:20:01,10.0,116
2025-12-16 12:30:01,10.0,125
2025-12-16 12:40:01,10.0,50
2025-12-16 12:50:01,10.0,122
2025-12-16 13:00:01,10.0,128
2025-12-16 13:10:01,10.0,123
2025-12-16 13:20:01,10.0,108
2025-12-16 13:30:01,10.0,125
2025-12-16 13:40:01,10.0,127
2025-12-16 13:50:01,10.0,121
2025-12-16 14:00:01,10.0,126
2025-12-16 14:10:01,10.0,121
2025-12-16 14:20:01,10.0,80
2025-12-16 14:30:01,10.0,129
2025-12-16 14:40:01,10.0,110
2025-12-16 14:50:01,10.0,107
2025-12-16 15:00:01,10.0,120
2025-12-16 15:10:01,10.0,47
2025-12-16 15:20:01,10.0,117
2025-12-16 15:30:01,10.0,128
2025-12-16 15:40:01,10.0,125
2025-12-16 15:50:01,10.0,127
2025-12-16 16:00:01,10.0,37
2025-12-16 16:10:01,10.0,39
2025-12-16 16:20:01,10.0,122
2025-12-16 16:30:01,10.0,127
2025-12-16 16:40:01,10.0,58
2025-12-16 16:50:01,10.0,122
2025-12-16 17:00:01,10.0,85
2025-12-16 17:10:01,10.0,59
2025-12-16 17:20:01,10.0,107
2025-12-16 17:30:01,10.0,128
2025-12-16 17:40:01,10.0,85
2025-12-16 17:50:01,10.0,123
2025-12-16 18:00:01,10.0,122
2025-12-16 18:10:01,10.0,98
2025-12-16 18:20:01,10.0,124
2025-12-16 18:30:01,10.0,129
2025-12-16 18:40:01,10.0,115
2025-12-16 18:50:01,10.0,44
2025-12-16 19:00:01,10.0,70
2025-12-16 19:10:01,10.0,128
2025-12-16 19:20:01,10.0,45
2025-12-16 19:30:01,10.0,35
2025-12-16 19:40:01,10.0,52
2025-12-16 19:50:01,10.0,56
2025-12-16 20:00:01,10.0,91
2025-12-16 20:10:01,10.0,121
2025-12-16 22:30:01,140.0,125
2025-12-17 08:40:01,610.0,109
2025-12-17 08:50:01,10.0,124
2025-12-17 09:00:01,10.0,103
2025-12-17 09:10:01,10.0,129
2025-12-17 09:20:01,10.0,60
2025-12-17 09:30:01,10.0,101
2025-12-17 09:40:01,10.0,124
2025-12-17 09:50:01,10.0,87
2025-12-17 10:00:01,10.0,121
2025-12-17 10:10:01,10.0,114
2025-12-17 10:20:01,10.0,123
2025-12-17 10:30:01,10.0,90
2025-12-17 10:40:01,10.0,96
2025-12-17 10:50:01,10.0,58
2025-12-17 11:00:01,10.0,124
2025-12-17 11:10:01,10.0,89
2025-12-17 11:20:01,10.0,127
2025-12-17 11:30:01,10.0,125
2025-12-17 11:40:01,10.0,87
2025-12-17 11:50:01,10.0,120
2025-12-17 12:00:01,10.0,68
2025-12-17 12:10:01,10.0,120
2025-12-17 12:20:01,10.0,83
2025-12-17 12:30:01,10.0,105
2025-12-17 12:40:01,10.0,127
2025-12-17 12:50:01,10.0,81
2025-12-17 13:00:01,10.0,67
2025-12-17 13:10:01,10.0,127
2025-12-17 13:20:01,10.0,124
2025-12-17 13:30:01,10.0,121
2025-12-17 13:40:01,10.0,116
2025-12-17 13:50:01,10.0,125
2025-12-17 14:00:01,10.0,61
2025-12-17 14:10:01,10.0,104
2025-12-17 14:20:01,10.0,84
2025-12-17 14:30:01,10.0,69
2025-12-17 14:40:01,10.0,122
2025-12-17 14:50:01,10.0,107
2025-12-17 15:00:01,10.0,124
2025-12-17 15:10:01,10.0,43
