createdTime,minute_diff,hrvValue
2026-01-16 10:40:01,0.0,127
2026-01-16 10:50:01,10.0,107
2026-01-16 11:10:01,20.0,45
2026-01-16 11:20:01,10.0,94
2026-01-16 11:30:01,10.0,120
2026-01-16 11:40:01,10.0,34
2026-01-16 11:50:01,10.0,77
2026-01-16 12:00:01,10.0,127
2026-01-16 12:10:01,10.0,122
2026-01-16 12:20:01,10.0,125
2026-01-16 12:30:01,10.0,24
2026-01-16 12:40:01,10.0,71
2026-01-16 12:45:06,5.083333333333333,30
2026-01-16 13:00:01,14.916666666666666,26
2026-01-16 13:10:01,10.0,46
2026-01-16 13:30:01,20.0,123
2026-01-16 13:40:01,10.0,123
2026-01-16 13:50:01,10.0,124
2026-01-16 14:00:01,10.0,123
2026-01-16 14:10:01,10.0,120
2026-01-16 14:20:01,10.0,125
2026-01-16 14:30:01,10.0,121
2026-01-16 14:40:01,10.0,126
2026-01-16 14:50:01,10.0,129
2026-01-16 15:00:01,10.0,122
2026-01-16 15:10:01,10.0,120
2026-01-16 15:20:01,10.0,55
2026-01-16 15:30:01,10.0,120
2026-01-16 15:40:01,10.0,60
2026-01-16 15:50:01,10.0,124
2026-01-16 16:00:01,10.0,127
2026-01-16 16:10:01,10.0,121
2026-01-16 16:20:01,10.0,83
2026-01-16 16:30:01,10.0,108
2026-01-16 16:40:01,10.0,31
2026-01-16 16:50:01,10.0,87
2026-01-16 17:00:01,10.0,121
2026-01-16 17:20:01,20.0,121
2026-01-16 17:30:01,10.0,32
2026-01-16 17:40:01,10.0,124
2026-01-16 17:50:01,10.0,36
2026-01-16 18:00:01,10.0,81
2026-01-16 18:10:01,10.0,97
2026-01-16 18:20:01,10.0,120
2026-01-16 18:30:01,10.0,89
2026-01-16 18:40:01,10.0,122
2026-01-16 18:50:01,10.0,40
2026-01-16 19:00:01,10.0,45
2026-01-16 19:10:01,10.0,51
2026-01-16 19:20:01,10.0,38
2026-01-16 19:30:01,10.0,121
