createdTime,minute_diff,hrvValue
2026-02-06 11:00:01,0.0,88
2026-02-06 11:10:01,10.0,65
2026-02-06 11:20:01,10.0,104
2026-02-06 11:30:01,10.0,123
2026-02-06 11:40:01,10.0,124
2026-02-06 11:50:01,10.0,123
2026-02-06 12:50:01,60.0,126
2026-02-06 13:00:01,10.0,116
2026-02-06 14:20:01,80.0,126
2026-02-06 14:30:01,10.0,123
2026-02-06 14:40:01,10.0,123
2026-02-06 14:50:01,10.0,60
2026-02-06 15:00:01,10.0,110
2026-02-06 15:10:01,10.0,36
2026-02-06 15:20:01,10.0,54
2026-02-06 15:30:01,10.0,33
2026-02-06 15:40:01,10.0,33
2026-02-06 15:50:01,10.0,40
2026-02-06 16:00:01,10.0,103
2026-02-06 16:10:01,10.0,122
2026-02-06 16:20:01,10.0,116
2026-02-06 16:30:01,10.0,124
2026-02-06 16:40:01,10.0,32
2026-02-06 16:50:01,10.0,48
2026-02-06 17:00:01,10.0,56
2026-02-06 17:10:01,10.0,129
2026-02-06 17:20:01,10.0,129
2026-02-06 17:30:01,10.0,123
2026-02-06 17:40:01,10.0,128
2026-02-06 17:50:01,10.0,63
2026-02-06 18:00:01,10.0,56
2026-02-06 18:10:01,10.0,127
2026-02-06 18:20:01,10.0,124
2026-02-06 18:30:01,10.0,102
2026-02-06 18:40:01,10.0,119
2026-02-06 18:50:01,10.0,91
2026-02-06 19:00:01,10.0,124
2026-02-06 19:10:01,10.0,40
2026-02-06 19:20:01,10.0,78
2026-02-06 19:30:01,10.0,124
2026-02-06 19:40:01,10.0,121
2026-02-06 19:50:01,10.0,120
2026-02-06 20:00:01,10.0,69
2026-02-06 20:10:01,10.0,123
2026-02-06 20:20:01,10.0,103
2026-02-06 20:30:01,10.0,126
2026-02-06 20:40:01,10.0,125
2026-02-06 20:50:01,10.0,36
2026-02-06 21:00:01,10.0,120
2026-02-06 21:20:01,20.0,59
2026-02-06 21:30:01,10.0,120
2026-02-06 21:40:01,10.0,128
2026-02-06 22:00:01,20.0,127
2026-02-06 22:10:01,10.0,59
2026-02-06 22:20:01,10.0,126
