createdTime,minute_diff,hrvValue
2025-12-05 10:30:01,0.0,43
2025-12-05 10:50:01,20.0,124
2025-12-05 11:00:01,10.0,61
2025-12-05 11:10:01,10.0,127
2025-12-05 11:20:01,10.0,126
2025-12-05 11:30:01,10.0,128
2025-12-05 11:40:01,10.0,124
2025-12-05 11:50:01,10.0,100
2025-12-05 12:10:01,20.0,115
2025-12-05 12:20:01,10.0,125
2025-12-05 12:50:01,30.0,121
2025-12-05 13:10:01,20.0,105
2025-12-05 13:20:01,10.0,46
2025-12-05 13:30:01,10.0,42
2025-12-05 13:40:01,10.0,63
2025-12-05 13:50:01,10.0,90
2025-12-05 14:00:01,10.0,58
2025-12-05 14:20:01,20.0,52
2025-12-05 14:30:01,10.0,128
2025-12-05 14:50:01,20.0,124
2025-12-05 15:00:01,10.0,120
2025-12-05 15:10:01,10.0,123
2025-12-05 16:00:01,50.0,43
2025-12-05 16:10:01,10.0,124
2025-12-05 16:20:01,10.0,74
2025-12-05 16:30:01,10.0,129
2025-12-05 16:40:01,10.0,122
2025-12-05 16:50:01,10.0,123
2025-12-05 17:00:01,10.0,128
2025-12-05 17:10:01,10.0,124
2025-12-05 17:20:01,10.0,124
2025-12-05 17:30:01,10.0,44
2025-12-05 17:40:01,10.0,49
2025-12-05 17:50:01,10.0,93
2025-12-05 18:00:01,10.0,120
2025-12-05 18:10:01,10.0,51
2025-12-05 18:20:01,10.0,120
2025-12-05 18:30:01,10.0,123
2025-12-05 18:40:01,10.0,125
2025-12-05 19:00:01,20.0,65
2025-12-05 19:30:01,30.0,120
2025-12-05 19:40:01,10.0,128
2025-12-05 19:50:01,10.0,129
2025-12-05 20:00:01,10.0,101
2025-12-05 20:10:01,10.0,77
2025-12-05 20:20:01,10.0,90
2025-12-05 20:30:01,10.0,43
2025-12-05 20:40:01,10.0,37
2025-12-05 20:50:01,10.0,43
2025-12-05 21:00:01,10.0,42
2025-12-05 21:10:01,10.0,46
2025-12-05 21:20:01,10.0,47
2025-12-05 21:30:01,10.0,39
2025-12-05 21:40:01,10.0,73
2025-12-05 21:50:01,10.0,124
2025-12-05 22:00:01,10.0,63
2025-12-05 22:10:01,10.0,66
2025-12-05 22:20:01,10.0,98
2025-12-05 22:30:01,10.0,121
2025-12-05 22:40:01,10.0,94
2025-12-05 22:50:01,10.0,111
2025-12-05 23:00:01,10.0,47
2025-12-05 23:10:01,10.0,66
2025-12-05 23:20:01,10.0,78
2025-12-05 23:30:01,10.0,88
2025-12-05 23:40:01,10.0,126
2025-12-05 23:50:01,10.0,126
2025-12-06 00:00:01,10.0,125
2025-12-06 00:10:01,10.0,128
2025-12-06 00:20:01,10.0,39
2025-12-06 00:30:01,10.0,115
2025-12-06 00:40:01,10.0,122
2025-12-06 00:50:01,10.0,80
2025-12-06 01:00:01,10.0,123
2025-12-06 01:10:01,10.0,59
2025-12-06 10:10:01,540.0,54
2025-12-06 10:30:01,20.0,128
2025-12-06 10:40:01,10.0,126
2025-12-06 10:50:01,10.0,126
2025-12-06 11:00:01,10.0,127
2025-12-06 11:10:01,10.0,125
2025-12-06 11:20:01,10.0,120
2025-12-06 11:30:01,10.0,125
2025-12-06 11:40:01,10.0,122
2025-12-06 11:50:01,10.0,124
2025-12-06 12:00:01,10.0,120
2025-12-06 12:10:01,10.0,75
2025-12-06 12:40:01,30.0,121
2025-12-06 12:50:01,10.0,129
2025-12-06 13:00:01,10.0,127
2025-12-06 13:10:01,10.0,129
2025-12-06 13:30:01,20.0,126
2025-12-06 13:40:01,10.0,124
2025-12-06 13:50:01,10.0,129
2025-12-06 14:00:01,10.0,121
2025-12-06 14:10:01,10.0,124
2025-12-06 14:20:01,10.0,120
2025-12-06 14:30:01,10.0,114
2025-12-06 14:40:01,10.0,95
2025-12-06 14:50:01,10.0,125
2025-12-06 15:00:01,10.0,126
2025-12-06 15:10:01,10.0,122
2025-12-06 15:20:01,10.0,81
2025-12-06 15:30:01,10.0,111
2025-12-06 23:50:01,500.0,125
