logDateTime,logEndTime,description
2026-02-05 05:55:00,2026-02-05 07:50:00,176~30~30~30~30~22~10~10~24~80~10~22~30~30~30~30~30~30~90~120~86~84~30
2026-02-08 02:35:00,2026-02-08 04:15:00,194~30~30~30~30~30~30~30~30~80~30~26~22~22~22~30~86~86~28~120
2026-02-04 09:59:00,2026-02-04 11:59:00,30~120~30~30~86~88~86~86~30~30~28~120~10~10~10~28~30~30~30~30~84~120~84~84
2026-02-08 12:36:00,2026-02-08 13:16:00,30~90~88~84~30~30~30~120
2026-03-06 09:56:00,2026-03-06 10:21:00,30~120~30~30~30
2026-03-30 12:03:00,2026-03-30 13:03:00,30~30~30~120~28~30~30~30~30~30~30~30
2026-02-08 08:36:00,2026-02-08 10:36:00,10~10~10~10~28~120~30~30~30~30~30~30~86~88~88~120~30~30~28~26~22~22~10~24
2026-03-06 12:28:00,2026-03-06 12:48:00,30~30~30~30
2026-01-09 11:41:00,2026-01-09 13:41:00,24~120~24~30~30~30~30~84~90~84~86~120~30~30~30~30~30~30~30~30~30~120~30~28
2026-02-08 10:36:00,2026-02-08 12:36:00,22~120~30~30~30~30~30~30~86~88~84~120~30~30~30~28~24~22~10~22~22~120~30~30
2026-02-04 07:59:00,2026-02-04 09:59:00,10~26~30~30~30~120~30~30~90~86~86~84~30~30~28~120~10~10~24~22~26~30~30~30
2026-03-08 06:20:00,2026-03-08 08:20:00,132~30~30~28~24~22~10~22~24~80~26~30~30~30~30~82~90~86~86~120~30~30~30~30
2026-01-09 09:41:00,2026-01-09 11:41:00,30~28~22~24~22~120~22~10~24~30~30~30~30~30~30~120~88~86~86~30~30~28~22~22
2026-03-08 12:15:00,2026-03-08 13:40:00,22~10~22~30~30~120~28~10~24~30~30~82~88~90~86~120~30
2026-03-06 10:29:00,2026-03-06 12:29:00,132~30~30~28~22~26~10~24~24~80~24~30~30~30~30~90~90~82~86~120~30~30~22~22
2026-01-09 07:42:00,2026-01-09 09:42:00,176~30~24~10~10~10~10~22~30~80~30~30~30~30~30~30~30~30~84~120~88~84~30~30
2026-03-08 05:10:00,2026-03-08 06:10:00,176~30~30~30~30~24~26~26~22~80~26~24
2026-03-30 08:03:00,2026-03-30 10:03:00,10~120~10~28~30~30~30~30~30~84~90~120~84~30~30~28~24~22~10~10~28~120~30~30
2026-01-09 06:14:00,2026-01-09 07:29:00,180~30~30~30~10~10~24~22~10~80~30~30~30~30~30
2026-03-08 10:16:00,2026-03-08 12:16:00,132~30~30~30~28~10~22~10~26~80~26~30~30~30~90~88~84~86~30~120~30~30~30~10
2026-03-06 07:56:00,2026-03-06 09:56:00,24~22~22~22~22~120~30~30~30~30~82~88~86~86~82~120~30~22~22~10~10~22~10~30
2026-02-04 06:00:00,2026-02-04 08:00:00,178~30~30~30~26~10~10~10~22~80~30~30~30~30~90~88~84~84~30~120~28~10~10~10
2026-03-06 05:57:00,2026-03-06 07:57:00,182~30~30~26~10~10~10~10~26~80~30~30~30~30~30~88~84~84~84~120~30~30~28~26
2026-03-08 08:19:00,2026-03-08 10:04:00,26~10~10~10~22~120~30~30~30~88~90~86~84~30~30~120~24~10~22~10~10
2026-03-30 04:04:00,2026-03-30 06:04:00,194~30~24~10~10~10~22~30~30~80~30~30~30~30~84~90~88~82~82~120~30~30~28~22
2026-03-06 19:59:00,2026-03-06 20:59:00,244~30~30~30~30~30~30~30~30~80~30~22
2026-03-30 10:03:00,2026-03-30 12:03:00,30~84~90~88~84~30~30~120~30~26~10~10~10~10~24~30~30~120~30~30~30~90~88~88
2026-03-30 06:03:00,2026-03-30 08:03:00,10~10~10~10~24~120~30~30~30~30~30~30~30~30~86~120~90~82~82~30~30~28~24~10
2026-02-04 11:59:00,2026-02-04 12:49:00,30~30~30~22~24~22~30~120~30~30
2026-02-08 06:37:00,2026-02-08 08:37:00,176~30~30~30~10~10~10~10~22~80~30~30~30~30~30~88~88~88~82~120~30~30~28~22
2026-01-09 13:41:00,2026-01-09 15:21:00,22~86~90~28~84~30~30~120~30~30~30~30~30~30~30~30~26~120~22~22
2026-02-10 06:34:00,2026-02-10 08:34:00,176~30~30~22~10~10~22~24~24~80~30~30~30~30~30~90~86~88~82~120~30~30~28~28
2026-02-23 07:42:00,2026-02-23 09:42:00,30~24~10~10~10~120~30~30~30~30~84~90~84~84~82~120~30~24~10~24~24~10~10~30
2026-03-10 10:01:00,2026-03-10 11:56:00,10~10~22~30~30~120~30~84~86~88~88~82~30~30~30~120~22~10~10~22~26~24~28
2026-02-07 06:12:00,2026-02-07 08:12:00,194~30~30~30~10~10~10~10~10~80~30~30~30~30~30~30~30~30~86~120~84~88~30~30
2026-05-01 12:53:00,2026-05-01 14:53:00,234~30~30~30~30~30~30~30~30~80~30~28~10~10~10~10~28~90~90~120~30~30~30~30
2026-02-17 11:25:00,2026-02-17 12:40:00,10~120~24~30~30~30~30~30~30~30~30~120~90~88~84
2026-03-10 06:31:00,2026-03-10 07:56:00,194~30~30~22~10~10~10~10~30~80~30~30~30~30~30~88~86
