createdTime,minute_diff,hrvValue
2025-12-19 11:10:01,0.0,122
2025-12-19 11:20:01,10.0,120
2025-12-19 11:30:01,10.0,94
2025-12-19 11:40:01,10.0,127
2025-12-19 11:50:01,10.0,108
2025-12-19 12:00:01,10.0,114
2025-12-19 12:10:01,10.0,121
2025-12-19 12:20:01,10.0,86
2025-12-19 12:30:01,10.0,128
2025-12-19 12:40:01,10.0,124
2025-12-19 12:50:01,10.0,124
2025-12-19 13:00:01,10.0,125
2025-12-19 13:10:01,10.0,128
2025-12-19 16:50:01,220.0,128
2025-12-19 19:10:01,140.0,122
2025-12-19 19:17:08,7.116666666666666,97
2025-12-19 19:40:01,22.883333333333333,63
2025-12-19 19:50:01,10.0,121
2025-12-19 20:30:01,40.0,121
2025-12-19 20:40:01,10.0,129
2025-12-19 21:00:01,20.0,114
2025-12-19 21:10:01,10.0,88
2025-12-19 21:30:01,20.0,43
2025-12-19 21:40:01,10.0,103
2025-12-19 23:10:01,90.0,79
2025-12-19 23:20:01,10.0,129
2025-12-19 23:50:01,30.0,125
2025-12-20 00:00:01,10.0,49
2025-12-20 01:00:01,60.0,69
2025-12-20 01:30:01,30.0,66
2025-12-20 01:50:01,20.0,60
2025-12-20 02:10:01,20.0,51
2025-12-20 02:40:01,30.0,73
2025-12-20 02:50:01,10.0,75
2025-12-20 03:00:01,10.0,44
2025-12-20 03:10:01,10.0,37
2025-12-20 03:20:01,10.0,34
2025-12-20 03:30:01,10.0,37
2025-12-20 03:40:01,10.0,40
2025-12-20 03:50:01,10.0,71
2025-12-20 04:00:01,10.0,47
2025-12-20 04:10:01,10.0,64
2025-12-20 04:20:01,10.0,37
2025-12-20 04:30:01,10.0,48
2025-12-20 04:40:01,10.0,35
2025-12-20 04:50:01,10.0,41
2025-12-20 05:00:01,10.0,66
2025-12-20 05:10:01,10.0,128
2025-12-20 05:20:01,10.0,83
2025-12-20 05:30:01,10.0,66
2025-12-20 05:40:01,10.0,78
2025-12-20 05:50:01,10.0,34
2025-12-20 06:00:01,10.0,33
2025-12-20 06:10:01,10.0,51
2025-12-20 06:20:01,10.0,36
2025-12-20 06:30:01,10.0,24
2025-12-20 06:40:01,10.0,108
2025-12-20 06:50:01,10.0,120
2025-12-20 07:00:01,10.0,83
2025-12-20 07:10:01,10.0,113
2025-12-20 07:20:01,10.0,48
2025-12-20 07:30:01,10.0,127
2025-12-21 13:30:01,1800.0,110
2025-12-21 13:40:01,10.0,59
2025-12-21 13:50:01,10.0,54
2025-12-21 14:00:01,10.0,115
2025-12-21 14:20:01,20.0,99
2025-12-21 14:30:01,10.0,127
2025-12-21 14:40:01,10.0,123
2025-12-21 14:50:01,10.0,125
2025-12-21 15:00:01,10.0,124
2025-12-21 15:10:01,10.0,123
2025-12-21 15:40:01,30.0,123
2025-12-21 15:50:01,10.0,111
2025-12-21 16:00:01,10.0,123
2025-12-21 16:10:01,10.0,129
2025-12-21 16:20:01,10.0,73
2025-12-21 16:30:01,10.0,103
2025-12-21 16:40:01,10.0,91
2025-12-21 16:50:01,10.0,66
2025-12-21 17:00:01,10.0,124
2025-12-21 17:10:01,10.0,64
2025-12-21 17:20:01,10.0,129
2025-12-21 17:30:01,10.0,123
2025-12-21 17:40:01,10.0,125
2025-12-21 17:50:01,10.0,127
2025-12-21 18:00:01,10.0,121
2025-12-21 18:10:01,10.0,124
2025-12-21 18:20:01,10.0,128
2025-12-21 18:30:01,10.0,128
2025-12-21 18:40:01,10.0,123
2025-12-21 18:50:01,10.0,38
2025-12-21 19:00:01,10.0,67
2025-12-21 19:10:01,10.0,102
2025-12-21 19:20:01,10.0,128
2025-12-21 19:30:01,10.0,112
2025-12-21 19:40:01,10.0,121
2025-12-21 19:50:01,10.0,126
2025-12-21 21:00:01,70.0,117
2025-12-21 21:10:01,10.0,105
2025-12-21 21:20:01,10.0,128
2025-12-21 21:30:01,10.0,102
2025-12-21 21:40:01,10.0,43
2025-12-21 21:50:01,10.0,124
2025-12-21 22:00:01,10.0,125
2025-12-21 22:10:01,10.0,128
2025-12-21 22:20:01,10.0,121
2025-12-21 23:00:01,40.0,128
2025-12-21 23:10:01,10.0,88
2025-12-21 23:20:01,10.0,111
2025-12-21 23:30:01,10.0,45
2025-12-21 23:40:01,10.0,64
2025-12-21 23:50:01,10.0,67
2025-12-22 00:00:01,10.0,53
2025-12-22 00:10:01,10.0,88
