createdTime,minute_diff,hrvValue
2026-01-06 11:20:01,0.0,101
2026-01-06 11:30:01,10.0,59
2026-01-06 12:10:01,40.0,75
2026-01-06 12:20:01,10.0,111
2026-01-06 12:30:01,10.0,36
2026-01-06 12:40:01,10.0,124
2026-01-06 13:00:01,20.0,128
2026-01-06 13:10:01,10.0,102
2026-01-06 13:20:01,10.0,42
2026-01-06 13:30:01,10.0,127
2026-01-06 13:40:01,10.0,126
2026-01-06 13:50:01,10.0,126
2026-01-06 14:10:01,20.0,121
2026-01-06 14:20:01,10.0,129
2026-01-06 14:30:01,10.0,123
2026-01-06 14:40:01,10.0,121
2026-01-06 14:50:01,10.0,120
2026-01-06 15:00:01,10.0,124
2026-01-06 15:10:01,10.0,128
2026-01-06 15:20:01,10.0,127
2026-01-06 15:30:01,10.0,52
2026-01-06 16:40:01,70.0,124
2026-01-06 16:57:04,17.05,83
2026-01-06 17:10:01,12.95,119
2026-01-06 17:20:01,10.0,62
2026-01-06 17:30:01,10.0,48
2026-01-06 17:40:01,10.0,123
2026-01-06 18:00:01,20.0,53
2026-01-06 18:10:01,10.0,43
2026-01-06 18:20:01,10.0,81
2026-01-06 18:30:01,10.0,52
2026-01-06 18:40:01,10.0,40
2026-01-06 18:50:01,10.0,33
2026-01-06 19:00:01,10.0,33
2026-01-06 19:20:01,20.0,44
2026-01-06 19:30:01,10.0,50
2026-01-06 19:40:01,10.0,42
2026-01-06 19:50:01,10.0,42
2026-01-06 22:10:01,140.0,36
2026-01-06 22:20:01,10.0,127
2026-01-06 22:30:01,10.0,103
2026-01-06 22:40:01,10.0,107
2026-01-06 22:50:01,10.0,122
2026-01-06 23:00:01,10.0,122
2026-01-06 23:20:01,20.0,117
2026-01-06 23:30:01,10.0,124
2026-01-06 23:50:01,20.0,129
2026-01-07 00:00:01,10.0,128
2026-01-07 00:10:01,10.0,126
2026-01-07 00:20:01,10.0,124
2026-01-07 00:30:01,10.0,49
2026-01-07 00:40:01,10.0,73
2026-01-07 00:50:01,10.0,87
2026-01-07 01:00:01,10.0,51
2026-01-07 01:10:01,10.0,50
2026-01-07 01:40:01,30.0,84
2026-01-07 01:50:01,10.0,49
2026-01-07 02:00:01,10.0,56
2026-01-07 02:10:01,10.0,69
2026-01-07 02:20:01,10.0,79
2026-01-07 02:30:01,10.0,53
2026-01-07 02:40:01,10.0,36
2026-01-07 02:50:01,10.0,42
2026-01-07 03:00:01,10.0,37
2026-01-07 03:10:01,10.0,37
2026-01-07 11:20:01,490.0,98
2026-01-07 11:30:01,10.0,101
2026-01-07 11:40:01,10.0,114
2026-01-07 11:50:01,10.0,89
2026-01-07 12:00:01,10.0,100
2026-01-07 12:02:39,2.6333333333333333,53
2026-01-07 12:30:01,27.366666666666667,124
2026-01-07 12:40:01,10.0,123
2026-01-07 12:50:01,10.0,126
2026-01-07 13:00:01,10.0,129
2026-01-07 14:00:01,60.0,125
2026-01-07 14:10:01,10.0,106
2026-01-07 14:20:01,10.0,94
2026-01-07 14:30:01,10.0,125
2026-01-07 14:50:01,20.0,70
2026-01-07 15:00:01,10.0,101
2026-01-07 15:20:01,20.0,129
2026-01-07 15:30:01,10.0,125
2026-01-07 15:40:01,10.0,123
2026-01-07 15:50:01,10.0,123
2026-01-07 16:00:01,10.0,96
2026-01-07 16:10:01,10.0,112
2026-01-07 16:20:01,10.0,129
2026-01-07 16:30:01,10.0,126
2026-01-07 16:40:01,10.0,126
2026-01-07 16:50:01,10.0,127
2026-01-07 17:00:01,10.0,125
2026-01-07 17:10:01,10.0,66
2026-01-07 17:20:01,10.0,127
2026-01-07 17:30:01,10.0,108
2026-01-07 17:50:01,20.0,88
2026-01-07 18:00:01,10.0,123
2026-01-07 18:10:01,10.0,65
2026-01-07 18:20:01,10.0,107
2026-01-07 18:30:01,10.0,127
2026-01-07 18:40:01,10.0,121
2026-01-07 18:50:01,10.0,125
2026-01-07 19:00:01,10.0,126
2026-01-07 19:20:01,20.0,56
2026-01-07 19:30:01,10.0,123
2026-01-07 19:40:01,10.0,124
2026-01-07 19:50:01,10.0,121
2026-01-07 20:00:01,10.0,129
2026-01-07 20:10:01,10.0,121
2026-01-07 20:40:01,30.0,60
2026-01-07 20:50:01,10.0,48
2026-01-07 21:00:01,10.0,63
2026-01-07 21:10:01,10.0,49
2026-01-07 21:20:01,10.0,49
2026-01-07 21:30:01,10.0,121
2026-01-07 21:40:01,10.0,128
2026-01-07 21:50:01,10.0,81
2026-01-07 22:10:01,20.0,64
2026-01-07 22:20:01,10.0,84
2026-01-07 22:30:01,10.0,100
2026-01-07 22:40:01,10.0,81
2026-01-07 23:00:01,20.0,95
2026-01-07 23:10:01,10.0,124
2026-01-07 23:20:01,10.0,120
2026-01-07 23:30:01,10.0,123
2026-01-07 23:50:01,20.0,116
2026-01-08 00:10:01,20.0,122
2026-01-08 00:40:01,30.0,69
2026-01-08 00:50:01,10.0,124
2026-01-08 01:10:01,20.0,117
2026-01-08 01:20:01,10.0,94
2026-01-08 01:30:01,10.0,128
2026-01-08 01:40:01,10.0,124
2026-01-08 01:50:01,10.0,63
2026-01-08 02:00:01,10.0,76
2026-01-08 02:10:01,10.0,92
2026-01-08 02:20:01,10.0,56
2026-01-08 02:30:01,10.0,118
2026-01-08 02:40:01,10.0,36
2026-01-08 02:50:01,10.0,33
2026-01-08 03:00:01,10.0,31
2026-01-08 03:10:01,10.0,31
2026-01-08 03:20:01,10.0,32
2026-01-08 07:20:01,240.0,38
2026-01-08 09:10:01,110.0,41
2026-01-08 09:20:01,10.0,32
2026-01-08 09:30:01,10.0,33
2026-01-08 09:40:01,10.0,36
2026-01-08 09:50:01,10.0,41
2026-01-08 10:00:01,10.0,50
2026-01-08 10:10:01,10.0,125
2026-01-08 10:20:01,10.0,125
2026-01-08 10:30:01,10.0,123
2026-01-08 10:40:01,10.0,119
2026-01-08 10:50:01,10.0,124
2026-01-08 11:00:01,10.0,127
2026-01-08 11:10:01,10.0,35
2026-01-08 11:20:01,10.0,122
2026-01-08 11:30:01,10.0,70
2026-01-09 00:40:01,790.0,107
2026-01-09 00:50:01,10.0,129
2026-01-09 01:00:01,10.0,107
2026-01-09 01:10:01,10.0,122
2026-01-09 01:20:01,10.0,51
2026-01-09 01:30:01,10.0,117
2026-01-09 01:31:53,1.8666666666666667,109
2026-01-09 22:20:01,1248.1333333333334,67
2026-01-09 22:30:01,10.0,32
2026-01-09 22:40:01,10.0,34
2026-01-09 22:50:01,10.0,36
2026-01-09 23:00:01,10.0,23
2026-01-09 23:10:01,10.0,122
2026-01-09 23:20:01,10.0,27
2026-01-09 23:30:01,10.0,97
2026-01-09 23:40:01,10.0,29
2026-01-09 23:50:01,10.0,29
2026-01-10 00:00:01,10.0,126
2026-01-10 00:10:01,10.0,29
2026-01-10 00:20:01,10.0,29
2026-01-10 00:30:01,10.0,38
2026-01-10 00:40:01,10.0,50
2026-01-10 00:50:01,10.0,30
2026-01-10 01:00:01,10.0,51
2026-01-10 01:10:01,10.0,29
2026-01-10 01:20:01,10.0,37
2026-01-10 01:30:01,10.0,58
2026-01-10 01:40:01,10.0,45
2026-01-10 01:50:01,10.0,101
2026-01-10 02:00:01,10.0,86
2026-01-10 02:10:01,10.0,94
2026-01-10 02:20:01,10.0,89
2026-01-10 02:30:01,10.0,126
2026-01-10 02:40:01,10.0,103
2026-01-10 02:50:01,10.0,85
2026-01-10 03:00:01,10.0,95
2026-01-10 03:10:01,10.0,91
2026-01-10 03:20:01,10.0,72
2026-01-10 03:30:01,10.0,94
2026-01-10 03:40:01,10.0,112
2026-01-10 03:50:01,10.0,122
2026-01-10 04:00:01,10.0,113
2026-01-10 04:10:01,10.0,89
2026-01-10 04:20:01,10.0,120
2026-01-10 04:30:01,10.0,121
2026-01-10 04:40:01,10.0,94
2026-01-10 04:50:01,10.0,129
2026-01-10 05:00:01,10.0,121
2026-01-10 05:10:01,10.0,81
2026-01-10 05:20:01,10.0,77
2026-01-10 05:30:01,10.0,100
