createdTime,minute_diff,hrvValue
2026-01-20 12:00:01,0.0,120
2026-01-20 12:10:01,10.0,121
2026-01-20 12:20:01,10.0,40
2026-01-20 12:30:01,10.0,43
2026-01-20 12:40:01,10.0,52
2026-01-20 12:50:01,10.0,52
2026-01-20 13:00:01,10.0,43
2026-01-20 13:10:01,10.0,129
2026-01-20 13:20:01,10.0,128
2026-01-20 13:30:01,10.0,115
2026-01-20 13:40:01,10.0,121
2026-01-20 13:50:01,10.0,128
2026-01-20 14:00:01,10.0,33
2026-01-20 14:10:01,10.0,113
2026-01-20 15:40:01,90.0,88
2026-01-20 15:50:01,10.0,120
2026-01-20 16:00:01,10.0,90
2026-01-20 16:10:01,10.0,39
2026-01-20 16:20:01,10.0,64
2026-01-20 16:30:01,10.0,126
2026-01-20 16:40:01,10.0,114
2026-01-20 16:50:01,10.0,123
2026-01-20 17:00:01,10.0,120
2026-01-20 17:10:01,10.0,106
2026-01-20 17:20:01,10.0,129
2026-01-20 17:30:01,10.0,123
2026-01-20 17:40:01,10.0,97
2026-01-20 17:50:01,10.0,51
2026-01-20 18:00:01,10.0,101
2026-01-20 18:10:01,10.0,119
2026-01-20 18:20:01,10.0,122
2026-01-20 18:30:01,10.0,129
2026-01-20 18:35:38,5.616666666666666,122
2026-01-30 20:10:01,14494.383333333333,70
2026-01-30 20:30:01,20.0,126
2026-01-30 20:50:01,20.0,66
2026-01-30 21:00:01,10.0,64
2026-01-30 21:20:01,20.0,110
2026-01-30 21:30:01,10.0,119
2026-01-30 21:50:01,20.0,58
2026-01-30 22:00:01,10.0,88
2026-01-30 22:10:01,10.0,105
2026-01-30 22:30:01,20.0,41
2026-01-30 22:40:01,10.0,55
2026-01-31 02:50:01,250.0,95
2026-01-31 03:00:01,10.0,98
2026-01-31 03:20:01,20.0,72
2026-01-31 03:30:01,10.0,56
2026-01-31 06:30:01,180.0,89
2026-01-31 06:40:01,10.0,59
2026-01-31 06:50:01,10.0,79
2026-01-31 07:30:01,40.0,98
2026-01-31 07:40:01,10.0,128
2026-01-31 08:00:01,20.0,93
2026-01-31 08:50:01,50.0,45
2026-01-31 09:00:01,10.0,125
2026-01-31 09:20:01,20.0,125
2026-01-31 10:00:01,40.0,128
2026-01-31 10:20:01,20.0,121
2026-01-31 10:30:01,10.0,120
2026-01-31 11:10:01,40.0,112
2026-01-31 11:20:01,10.0,126
2026-01-31 18:00:01,400.0,112
2026-01-31 18:20:01,20.0,123
2026-01-31 18:40:01,20.0,112
2026-01-31 18:50:01,10.0,128
2026-01-31 19:10:01,20.0,124
2026-01-31 19:30:01,20.0,127
2026-01-31 20:10:01,40.0,122
2026-01-31 20:20:01,10.0,86
2026-01-31 20:40:01,20.0,115
2026-01-31 21:00:01,20.0,67
2026-01-31 21:10:01,10.0,59
2026-01-31 21:20:01,10.0,125
2026-01-31 22:00:01,40.0,64
2026-01-31 22:10:01,10.0,44
2026-01-31 22:20:01,10.0,37
2026-01-31 22:30:01,10.0,45
2026-01-31 22:40:01,10.0,87
2026-01-31 22:50:01,10.0,73
2026-01-31 23:00:01,10.0,76
2026-02-01 00:50:01,110.0,79
2026-02-01 01:00:01,10.0,99
2026-02-01 02:20:01,80.0,82
2026-02-01 03:20:01,60.0,93
2026-02-01 04:40:01,80.0,63
2026-02-01 04:50:01,10.0,51
2026-02-01 05:00:01,10.0,69
2026-02-01 05:10:01,10.0,84
2026-02-01 05:20:01,10.0,87
2026-02-01 08:20:01,180.0,53
2026-04-07 12:50:01,93870.0,113
2026-04-07 13:20:01,30.0,68
2026-04-07 13:50:01,30.0,112
2026-04-07 14:00:01,10.0,124
2026-04-07 14:10:01,10.0,69
2026-04-07 14:20:01,10.0,123
2026-04-07 14:40:01,20.0,44
2026-04-07 14:50:01,10.0,48
2026-04-07 15:00:01,10.0,59
2026-04-07 15:10:01,10.0,127
2026-04-07 15:20:01,10.0,129
2026-04-07 15:30:01,10.0,128
2026-04-07 15:50:01,20.0,111
2026-04-07 16:00:01,10.0,126
2026-04-07 16:20:01,20.0,127
2026-04-07 16:30:01,10.0,123
2026-04-07 17:00:01,30.0,98
2026-04-07 17:20:01,20.0,120
2026-04-07 17:40:01,20.0,120
2026-04-07 17:50:01,10.0,121
2026-04-07 18:00:01,10.0,124
2026-04-07 18:30:01,30.0,83
2026-04-07 19:20:01,50.0,51
2026-04-07 19:40:01,20.0,58
2026-04-07 19:50:01,10.0,123
2026-04-07 20:00:01,10.0,126
2026-04-07 20:40:01,40.0,47
2026-04-07 20:50:01,10.0,51
2026-04-07 21:00:01,10.0,121
2026-04-07 21:30:01,30.0,108
2026-04-08 08:00:01,630.0,120
2026-04-08 08:10:01,10.0,120
2026-04-08 08:20:01,10.0,115
2026-04-08 08:30:01,10.0,66
2026-04-08 08:40:01,10.0,120
2026-04-08 12:50:01,250.0,128
2026-04-08 13:00:01,10.0,105
2026-04-08 21:00:01,480.0,58
2026-04-08 21:10:01,10.0,54
2026-04-08 21:20:01,10.0,120
2026-04-08 21:30:01,10.0,122
2026-04-09 07:00:01,570.0,123
2026-04-09 07:20:01,20.0,102
2026-04-09 07:30:01,10.0,129
2026-04-09 07:40:01,10.0,85
2026-04-09 07:50:01,10.0,65
2026-04-09 08:00:01,10.0,121
2026-04-09 08:10:01,10.0,109
2026-04-09 08:20:01,10.0,64
2026-04-09 08:30:01,10.0,62
2026-04-09 08:40:01,10.0,95
2026-04-09 08:50:01,10.0,127
2026-04-09 09:00:01,10.0,121
2026-04-09 09:20:01,20.0,128
2026-04-09 09:40:01,20.0,120
2026-04-09 10:00:01,20.0,101
2026-04-09 10:30:01,30.0,123
2026-04-09 10:50:01,20.0,124
2026-04-09 11:00:01,10.0,119
2026-04-09 11:20:01,20.0,112
2026-04-09 11:30:01,10.0,126
2026-04-09 11:50:01,20.0,75
2026-04-09 12:00:01,10.0,72
2026-04-09 12:10:01,10.0,117
2026-04-09 12:20:01,10.0,110
2026-04-09 12:40:01,20.0,106
2026-04-09 12:50:01,10.0,107
2026-04-09 13:20:01,30.0,120
2026-04-09 13:30:01,10.0,109
2026-04-09 13:40:01,10.0,121
2026-04-09 13:50:01,10.0,120
2026-04-09 14:00:01,10.0,127
2026-04-09 14:10:01,10.0,109
2026-04-09 14:30:01,20.0,125
2026-04-09 14:40:01,10.0,122
2026-04-09 14:50:01,10.0,123
2026-04-09 15:00:01,10.0,120
2026-04-09 15:20:01,20.0,123
2026-04-09 15:30:01,10.0,106
2026-04-09 15:40:01,10.0,120
2026-04-09 15:50:01,10.0,126
2026-04-09 16:30:01,40.0,126
2026-04-09 16:40:01,10.0,106
2026-04-09 16:50:01,10.0,107
2026-04-09 17:00:01,10.0,122
2026-04-09 17:10:01,10.0,126
2026-04-09 17:20:01,10.0,126
2026-04-09 17:30:01,10.0,77
2026-04-09 17:40:01,10.0,123
2026-04-09 17:50:01,10.0,113
2026-04-09 18:00:01,10.0,43
2026-04-09 18:10:01,10.0,122
2026-04-09 18:20:01,10.0,56
2026-04-09 18:30:01,10.0,123
2026-04-09 18:40:01,10.0,31
2026-04-09 18:50:01,10.0,129
2026-04-09 19:00:01,10.0,50
2026-04-09 19:10:01,10.0,120
2026-04-09 19:20:01,10.0,126
2026-04-09 19:30:01,10.0,126
2026-04-09 19:40:01,10.0,126
2026-04-09 19:50:01,10.0,47
2026-04-09 20:00:01,10.0,127
2026-04-09 20:10:01,10.0,129
2026-04-09 20:20:01,10.0,62
2026-04-09 20:40:01,20.0,77
2026-04-09 20:50:01,10.0,123
2026-04-09 21:00:01,10.0,120
2026-04-09 21:10:01,10.0,120
2026-04-09 21:20:01,10.0,111
2026-04-09 21:30:01,10.0,122
2026-04-09 21:40:01,10.0,72
2026-04-09 21:50:01,10.0,100
2026-04-09 22:00:01,10.0,50
2026-04-09 22:10:01,10.0,88
2026-04-09 22:20:01,10.0,69
2026-04-09 22:30:01,10.0,94
2026-04-09 22:40:01,10.0,71
2026-04-09 22:50:01,10.0,74
2026-04-09 23:00:01,10.0,96
2026-04-09 23:10:01,10.0,90
2026-04-09 23:20:01,10.0,87
2026-04-09 23:30:01,10.0,53
2026-04-09 23:40:01,10.0,73
2026-04-09 23:50:01,10.0,58
2026-04-10 00:00:01,10.0,81
2026-04-10 00:10:01,10.0,86
2026-04-10 00:20:01,10.0,77
2026-04-10 00:30:01,10.0,97
2026-04-10 00:40:01,10.0,62
2026-04-10 00:50:01,10.0,85
2026-04-10 01:00:01,10.0,71
2026-04-10 01:10:01,10.0,80
2026-04-10 01:20:01,10.0,74
2026-04-10 01:30:01,10.0,90
2026-04-10 01:40:01,10.0,91
2026-04-10 01:50:01,10.0,81
2026-04-10 02:00:01,10.0,84
2026-04-10 02:10:01,10.0,83
2026-04-10 02:20:01,10.0,102
2026-04-10 02:30:01,10.0,93
2026-04-10 02:40:01,10.0,46
2026-04-10 02:50:01,10.0,98
2026-04-10 03:00:01,10.0,82
2026-04-10 03:10:01,10.0,80
2026-04-10 03:20:01,10.0,78
2026-04-10 03:30:01,10.0,90
2026-04-10 03:40:01,10.0,72
