logDateTime,logEndTime,description
2026-01-31 11:58:00,2026-01-31 12:58:00,176~30~30~26~10~10~28~30~30~80~24~24
2026-02-01 07:51:00,2026-02-01 08:46:00,132~30~30~22~28~10~10~28~10~80~26
2026-02-01 03:58:00,2026-02-01 05:58:00,194~30~24~10~10~10~10~26~30~80~30~30~30~30~30~30~84~90~88~120~82~30~30~30
2026-01-31 03:44:00,2026-01-31 05:44:00,194~30~30~30~30~30~30~30~30~80~22~10~22~10~24~88~90~84~84~120~30~30~26~10
2026-02-01 05:57:00,2026-02-01 06:12:00,28~22~10
2026-01-31 10:35:00,2026-01-31 11:50:00,30~24~26~22~22~120~10~24~30~30~30~30~30~30~30
2026-01-31 05:43:00,2026-01-31 07:43:00,10~22~24~22~26~120~30~30~30~30~30~82~90~86~88~120~30~30~30~26~10~10~24~26
2026-02-01 06:31:00,2026-02-01 07:46:00,132~30~28~26~10~10~10~22~24~80~30~30~30~30~30
2026-01-31 07:43:00,2026-01-31 08:03:00,26~120~30~30
2026-02-01 10:18:00,2026-02-01 12:08:00,192~30~30~30~30~24~10~10~26~80~22~22~30~30~30~30~30~30~90~120~82~30
2026-01-31 08:36:00,2026-01-31 10:36:00,176~30~30~30~10~10~22~10~10~80~30~30~30~30~30~30~30~30~82~120~90~86~30~30
2026-02-01 08:58:00,2026-02-01 10:08:00,132~30~30~24~26~22~10~22~24~80~30~30~30~86
2026-04-24 22:39:00,2026-04-24 22:44:00,30
2026-04-24 20:40:00,2026-04-24 22:40:00,194~30~30~30~30~30~30~30~30~80~30~28~22~10~10~10~10~86~86~120~84~30~30~30
2026-04-11 18:44:00,2026-04-11 19:44:00,214~30~30~30~30~30~30~30~30~80~30~28
2026-04-22 19:19:00,2026-04-22 19:59:00,204~30~30~30~30~30~30~30
2026-04-22 10:25:00,2026-04-22 12:15:00,90~30~30~24~10~10~10~10~24~80~30~30~30~30~30~30~30~90~88~120~82~30
2026-04-17 18:40:00,2026-04-17 20:00:00,30~30~30~30~30~30~30~30~30~80~30~10~10~10~10~10
2026-04-15 02:35:00,2026-04-15 03:40:00,194~30~30~30~30~30~30~30~30~80~28~22~88
