createdTime,minute_diff,hrvValue
2026-01-27 12:00:01,0.0,59
2026-01-27 12:10:01,10.0,120
2026-01-27 12:20:01,10.0,70
2026-01-27 12:50:01,30.0,84
2026-01-27 13:00:01,10.0,88
2026-01-27 13:10:01,10.0,122
2026-01-27 13:20:01,10.0,121
2026-01-27 13:30:01,10.0,107
2026-01-27 13:50:01,20.0,42
2026-01-27 14:00:01,10.0,122
2026-01-27 14:30:01,30.0,87
2026-01-27 14:40:01,10.0,121
2026-01-27 14:50:01,10.0,126
2026-01-27 15:00:01,10.0,105
2026-01-27 15:10:01,10.0,123
2026-01-27 15:20:01,10.0,122
2026-01-27 15:30:01,10.0,99
2026-01-27 15:40:01,10.0,129
2026-01-27 15:50:01,10.0,48
2026-01-27 15:56:40,6.65,35
2026-01-27 16:10:01,13.35,113
2026-01-27 16:20:01,10.0,120
2026-01-27 16:30:01,10.0,49
2026-01-27 16:40:01,10.0,79
2026-01-27 16:50:01,10.0,53
2026-01-27 17:00:01,10.0,119
2026-01-27 17:30:01,30.0,32
2026-01-27 17:40:01,10.0,39
2026-01-27 17:50:01,10.0,51
2026-01-27 18:10:01,20.0,51
2026-01-27 18:50:01,40.0,86
2026-01-27 20:10:01,80.0,67
2026-01-28 05:31:26,561.4166666666666,54
2026-01-28 07:30:01,118.58333333333333,122
2026-01-28 07:40:01,10.0,40
2026-01-28 07:50:01,10.0,43
2026-01-28 08:00:01,10.0,51
2026-01-28 08:40:01,40.0,87
2026-01-28 08:50:01,10.0,86
2026-01-28 09:00:01,10.0,95
2026-01-28 09:20:01,20.0,121
2026-01-28 09:30:01,10.0,54
2026-01-28 09:40:01,10.0,106
2026-01-28 09:50:01,10.0,102
2026-01-28 10:10:01,20.0,120
2026-01-28 10:20:01,10.0,88
2026-01-28 10:30:01,10.0,121
2026-01-28 10:40:01,10.0,74
2026-01-28 10:50:01,10.0,70
2026-01-28 11:00:01,10.0,125
2026-01-28 11:10:01,10.0,122
2026-01-28 11:20:01,10.0,122
2026-01-28 11:40:01,20.0,103
2026-01-28 12:00:01,20.0,56
2026-01-28 12:10:01,10.0,64
2026-01-28 12:20:01,10.0,124
2026-01-28 12:30:01,10.0,108
2026-01-28 13:00:01,30.0,79
